"contractor_id","contractor_name","phone","email","project_cost","start_date","end_date","project_count","payment_terms","project_id"
"1","Scott-Wilson","470-774-3450x0856","dstout@chan.org","3095747.64","2023-04-14","2027-06-22","37","Advance","13"
"2","Wade-Perez","001-497-298-2561x882","rivasjerry@watkins.com","6399809.16","2022-08-24","2030-02-13","37","60 days","64"
"3","Brewer, Nichols and Jones","2693758616","michelle02@wheeler.com","2816658.28","2023-02-27","2026-11-08","14","Milestone","47"
"4","Hodges PLC","(338)928-3916x86484","lclark@taylor.info","1917096.95","2021-05-20","2025-08-27","18","30 days","145"
"5","Malone-Fletcher","458-389-0085x45231","amy42@hicks.org","2549751.88","2022-07-28","2034-08-24","27","Milestone","42"
"6","Brooks-Horton","+1-545-210-3216x2552","rthompson@smith.com","3573218.55","2023-09-13","2035-12-09","9","Advance","10"
"7","Williams-Castaneda","270.361.2202","philip92@peterson.com","1791053.37","2022-03-08","2025-01-21","3","Milestone","36"
"8","Gould LLC","904-658-4911","hebertthomas@murray.info","4899812.85","2021-03-25","2032-08-24","11","Milestone","8"
"9","Day-Bryant","+1-892-392-4259","dmartinez@hernandez.org","7085252.7","2023-05-08","2028-05-11","12","Advance","94"
"10","Little-Ferguson","+1-555-698-0206","ecole@medina-frazier.org","4804134.98","2022-04-21","2035-08-11","23","Milestone","179"
"11","Smith-Martin","260-805-0822x6107","pgarrett@scott.net","3628679.63","2023-01-13","2029-02-10","23","Advance","80"
"12","Hughes Ltd","(891)587-3925","tyler55@moreno.biz","6395263.25","2021-10-13","2033-06-12","33","60 days","137"
"13","Roberts, Mason and Taylor","425-672-2006x76613","ryanbonnie@carr.com","6009505.12","2023-02-22","2039-05-29","10","30 days","62"
"14","Logan, Koch and Oliver","(203)634-8270x4514","shardy@pearson.net","2999759.16","2021-04-13","2036-10-21","7","Milestone","78"
"15","Washington-Moreno","629.266.7356x2633","connermolly@kelley.com","4872812.42","2023-08-13","2030-08-06","17","Advance","46"
"16","Harris, Phillips and Beard","(642)747-9144x34619","vicki28@charles.com","5865758.6","2021-04-20","2023-11-06","11","30 days","66"
"17","Oneill, Smith and Walker","(729)503-0838","brownjasmine@gonzales.com","2039159.74","2023-04-21","2037-05-07","32","60 days","176"
"18","Washington-Hunt","(573)676-8874","samanthagallagher@smith.com","2993563.64","2022-01-31","2030-03-20","17","Milestone","126"
"19","Murphy, Hernandez and Dunlap","+1-470-666-2297x683","frodriguez@price.info","935630.96","2022-08-21","2035-06-14","32","30 days","180"
"20","Allen-Chen","625-868-2113x80847","claytonjesus@evans.net","7902674.2","2022-01-10","2031-05-23","37","Milestone","132"
"21","Wells Inc","+1-681-976-8974x17708","ehanson@ortega-wilson.com","778433.44","2021-08-24","2036-12-03","33","30 days","153"
"22","Moore, Mooney and Maldonado","245-741-5689x571","cking@morris.com","1431988.39","2022-01-20","2029-12-09","31","60 days","178"
"23","Palmer Group","823-421-1947x8074","igonzalez@george.com","3890672.4","2023-08-30","2035-09-26","28","30 days","34"
"24","Brown-Lynn","854-399-6464","lori47@diaz-rodriguez.com","6935647.49","2021-05-09","2033-05-06","32","30 days","83"
"25","Flores-Fuentes","311.693.8879x677","shawn79@davis.com","2911467.98","2021-07-12","2027-04-12","39","Milestone","61"
"26","Brown-Smith","325.507.8674x791","daynathan@taylor-saunders.com","6171909.57","2022-10-16","2033-10-18","10","60 days","151"
"27","Fletcher-Sanchez","340.403.6200x153","iwilson@morris.org","5440669.18","2023-07-23","2031-07-11","3","60 days","108"
"28","Mendoza-Price","937-235-4381x5681","zwagner@brooks.net","5145446.21","2022-02-10","2035-03-04","14","Milestone","77"
"29","Bradley-Harris","(851)295-9961","smithtracy@webster-soto.com","6775636.28","2022-10-02","2028-07-02","13","30 days","27"
"30","Huff, Butler and Miller","(475)433-9245","sandrasuarez@bell-adkins.org","211945.29","2022-07-05","2032-06-12","37","60 days","155"
"31","Serrano, Johnson and Williams","9366130817","torresamy@bridges.com","7440309.0","2021-01-21","2026-04-25","24","60 days","28"
"32","Steele-Andrews","001-996-752-3596x23047","jennifer32@boyd-richardson.com","6650886.82","2021-03-21","2033-05-17","21","Advance","32"
"33","Mitchell, Simpson and Sanchez","001-972-765-6331x530","erik61@gutierrez.org","7509151.04","2023-02-20","2026-08-03","10","30 days","167"
"34","Simpson-Brooks","275.437.4694x2350","corey22@crosby.biz","6369344.28","2020-11-10","2033-01-06","1","60 days","48"
"35","Perez Ltd","854.351.3685","pjohnson@miller-valenzuela.com","7040872.12","2023-08-24","2034-09-25","29","60 days","119"
"36","Burns and Sons","(666)767-6526","dennis17@wagner-brown.com","1704316.58","2021-04-27","2030-09-07","22","Milestone","151"
"37","Guzman, Martin and Smith","(454)416-3631x33435","ashley97@carter.org","2621909.63","2023-07-30","2039-04-07","36","Advance","145"
"38","Jones PLC","476.855.6287x0073","miguel78@johnson-harris.com","2590246.01","2021-05-11","2034-06-02","31","Milestone","127"
"39","Rodriguez Inc","(628)207-9184","hernandezstephanie@browning.biz","962417.29","2021-11-24","2036-04-09","34","Advance","154"
"40","Baldwin-Chavez","558.507.7313x43517","cheryl57@anderson.info","5863676.12","2021-01-17","2033-04-14","35","30 days","164"
"41","Smith LLC","+1-203-251-2991x183","hgeorge@james-manning.com","1175750.05","2022-11-03","2025-07-20","30","Advance","67"
"42","Gibson-Gilbert","001-901-319-1112x876","estradakrystal@sullivan.com","514822.41","2023-08-20","2030-10-12","2","30 days","128"
"43","Diaz LLC","001-277-772-8994x741","ann54@lopez.com","6226030.27","2021-11-21","2037-01-31","21","Milestone","37"
"44","Hawkins Ltd","541.217.7035","ronniesmith@ayala.com","7246839.04","2023-02-19","2027-01-29","7","Milestone","52"
"45","Deleon, Garner and Johnson","(316)601-9365x116","edwardschristopher@gibbs.info","6136574.45","2023-05-15","2026-07-28","6","Milestone","49"
"46","Berry, Rodriguez and Lee","+1-794-901-2355","phillip75@kim.info","6620282.48","2021-08-06","2027-09-04","19","60 days","7"
"47","Medina-Hawkins","(601)720-1425","hallsheila@santos-wagner.biz","4805411.25","2021-10-19","2024-06-05","18","60 days","173"
"48","Jimenez, Adams and Marshall","+1-320-628-0720","howelltara@calderon-wilson.org","7113196.07","2020-12-28","2028-01-21","22","Milestone","71"
"49","Hale Ltd","596.375.6732","cody87@burgess.com","4023957.51","2022-03-02","2034-05-28","4","Milestone","21"
"50","Fischer-Fisher","391.880.3429x559","edwinburke@williamson-walter.com","7907748.69","2023-04-12","2030-04-05","22","Advance","109"
"51","Gallagher Ltd","439-415-5143","melanie50@davis.net","916978.84","2021-10-07","2029-01-28","5","60 days","169"
