"Owner_id","Unit_id"
"1","1304"
"2","6924"
"2","1964"
"2","8374"
"3","3782"
"4","6609"
"4","6784"
"5","6483"
"6","2733"
"7","6946"
"7","7110"
"7","5392"
"8","7899"
"9","7703"
"10","2316"
"10","7247"
"11","1145"
"11","39"
"11","2344"
"12","764"
"12","4807"
"12","552"
"13","7224"
"15","2526"
"16","4429"
"17","5700"
"18","840"
"18","8732"
"18","1265"
"19","140"
"20","769"
"22","7491"
"22","6562"
"23","6153"
"24","7390"
"25","2038"
"26","3711"
"26","6334"
"27","1061"
"28","1093"
"29","466"
"30","6004"
"31","2818"
"32","7731"
"32","5130"
"32","3210"
"33","7835"
"34","168"
"36","3251"
"37","7051"
"37","3078"
"37","3966"
"38","718"
"38","6602"
"38","3026"
"39","5535"
"40","6001"
"41","8096"
"41","2720"
"41","5389"
"44","6518"
"44","2283"
"45","4557"
"45","6108"
"45","3199"
"46","8308"
"47","4401"
"47","4767"
"48","2142"
"49","8432"
"50","2920"
"51","7937"
"52","2261"
"53","8646"
"53","4130"
"54","1368"
"56","1295"
"56","3826"
"56","5129"
"57","1113"
"59","4258"
"59","886"
"60","7778"
"60","7182"
"60","2897"
"61","333"
"61","7542"
"62","7195"
"63","6789"
"65","565"
"67","2778"
"68","2435"
"69","7233"
"69","4911"
"69","6653"
"70","1611"
"70","6278"
"70","2076"
"72","1203"
"73","2033"
"75","7900"
"76","8277"
"77","6932"
"78","4237"
"78","8076"
"78","7111"
"79","8199"
"79","5424"
"79","5479"
"80","2410"
"81","52"
"82","6614"
"82","8388"
"82","1686"
"83","434"
"84","4090"
"86","6258"
"87","3727"
"87","1640"
"87","3061"
"88","2851"
"88","979"
"88","5116"
"89","166"
"89","1281"
"90","6056"
"90","1382"
"92","4740"
"93","5181"
"94","5986"
"94","8921"
"95","8867"
"95","378"
"96","5335"
"97","3758"
"98","1534"
"98","2318"
"99","2883"
"101","2092"
"101","3835"
"102","5088"
"104","3713"
"106","1958"
"107","6728"
"108","7195"
"109","1708"
"109","5629"
"109","7449"
"110","5332"
"110","661"
"110","2170"
"111","1804"
"111","2584"
"111","4109"
"112","6794"
"113","7837"
"114","7191"
"114","8765"
"114","1826"
"115","2080"
"116","8038"
"116","6968"
"117","3271"
"117","715"
"118","5219"
"119","6981"
"121","5871"
"123","8030"
"123","14"
"125","8051"
"125","4049"
"126","1894"
"127","2095"
"127","6479"
"127","169"
"128","6183"
"130","6852"
"131","5227"
"132","5189"
"132","7415"
"132","1701"
"133","4466"
"134","4505"
"134","8217"
"135","4450"
"136","3403"
"136","6157"
"138","6241"
"138","2952"
"138","389"
"139","6403"
"139","4069"
"139","422"
"140","5316"
"141","940"
"141","6241"
"141","1659"
"142","7297"
"142","1131"
"142","6859"
"143","7859"
"143","4639"
"143","7422"
"144","7517"
"145","6024"
"145","2380"
"145","267"
"146","8156"
"146","3192"
"147","6604"
"147","8772"
"148","2170"
"149","5243"
"150","4827"
"152","3846"
"154","4912"
"154","4216"
"154","2802"
"155","7704"
"155","5851"
"156","2119"
"156","6994"
"157","505"
"157","7052"
"157","4416"
"158","8140"
"158","1790"
"158","4708"
"159","6077"
"159","4712"
"159","1537"
"160","7387"
"161","5753"
"162","2909"
"162","215"
"162","8351"
"163","5987"
"166","2060"
"167","4963"
"167","8228"
"170","2726"
"170","2346"
"170","6239"
"171","4676"
"172","3902"
"173","3472"
"174","2909"
"175","3030"
"175","5340"
"175","6267"
"176","8701"
"178","4005"
"178","2620"
"179","3802"
"180","8489"
"180","7594"
"182","4289"
"182","3038"
"182","3556"
"183","4550"
"184","2093"
"184","6934"
"184","110"
"185","1946"
"185","4451"
"185","2288"
"186","6860"
"187","5911"
"188","1972"
"189","7371"
"189","8041"
"190","324"
"191","2472"
"191","2960"
"191","4347"
"192","3749"
"195","6258"
"196","8403"
"197","5555"
"197","7012"
"198","2131"
"199","7594"
"199","8096"
"199","8884"
"200","7357"
"202","1995"
"206","5089"
"206","5232"
"206","6541"
"207","1303"
"208","3129"
"209","4156"
"209","3195"
"209","7488"
"210","6054"
"210","212"
"211","4222"
"211","2458"
"211","4391"
"212","4276"
"213","5785"
"214","1603"
"215","7566"
"215","924"
"215","5126"
"216","991"
"217","988"
"219","3826"
"220","4459"
"221","8094"
"222","2435"
"223","1136"
"224","1662"
"224","3263"
"225","7005"
"225","5704"
"225","7602"
"226","8191"
"227","5539"
"228","6742"
"228","7717"
"229","4768"
"230","2811"
"230","8908"
"230","5335"
"231","642"
"231","2139"
"232","2656"
"232","8444"
"233","7620"
"233","6910"
"236","415"
"237","6180"
"237","8705"
"238","2276"
"238","7404"
"239","403"
"240","2673"
"240","1209"
"241","597"
"242","634"
"243","5890"
"246","3275"
"247","1415"
"247","2518"
"248","4460"
"248","8653"
"248","2666"
"249","2702"
"250","4293"
"251","7650"
"252","5282"
"254","2443"
"254","4259"
"254","5846"
"255","255"
"255","8128"
"256","3074"
"258","4162"
"259","8753"
"259","7988"
"260","3263"
"260","7057"
"260","8148"
"261","6613"
"261","317"
"262","6648"
"264","4966"
"265","2623"
"265","5866"
"265","874"
"267","7551"
"268","1654"
"268","3376"
"268","2716"
"269","4019"
"270","666"
"271","3693"
"271","7881"
"271","31"
"272","8064"
"274","3148"
"274","5242"
"275","7149"
"275","8689"
"276","6498"
"276","6066"
"277","8070"
"279","258"
"280","2064"
"281","3734"
"282","6925"
"283","3364"
"284","5584"
"284","5010"
"285","4421"
"285","5948"
"286","7154"
"287","4597"
"289","6692"
"289","4171"
"290","2253"
"292","1868"
"293","8789"
"297","5740"
"297","3903"
"297","657"
"299","6758"
"300","2792"
"300","7389"
"300","8066"
"301","2776"
"301","1103"
"302","7995"
"302","4687"
"303","8549"
"304","6686"
"304","2783"
"305","2465"
"306","2626"
"307","78"
"309","5196"
"309","8597"
"310","7699"
"311","1439"
"313","4645"
"313","6971"
"313","2956"
"314","3835"
"318","533"
"318","1220"
"319","2534"
"320","4709"
"321","1217"
"322","3543"
"322","7426"
"322","948"
"323","4337"
"324","7872"
"325","6635"
"326","7891"
"326","7117"
"327","5499"
"328","8841"
"329","1680"
"329","6557"
"329","2388"
"332","7636"
"333","7248"
"333","5073"
"333","2410"
"334","8580"
"335","7233"
"337","3149"
"338","6004"
"338","4998"
"338","193"
"339","3898"
"339","2977"
"340","4505"
"340","265"
"340","6889"
"341","5266"
"343","5672"
"343","8841"
"343","4628"
"344","6157"
"344","6710"
"345","6599"
"345","5284"
"346","4787"
"347","1681"
"348","703"
"350","5447"
"350","6504"
"350","548"
"351","5497"
"352","4682"
"353","7716"
"353","8726"
"354","3718"
"355","4404"
"355","1459"
"357","5547"
"358","7131"
"358","7982"
"359","6844"
"360","7765"
"361","3603"
"362","5649"
"363","5135"
"363","4358"
"363","4305"
"364","770"
"364","3145"
"365","813"
"366","5054"
"367","906"
"368","3721"
"369","952"
"370","3144"
"371","2371"
"371","2955"
"374","5486"
"375","2351"
"375","2682"
"375","1263"
"376","2765"
"377","951"
"377","1197"
"379","1320"
"379","6076"
"379","5973"
"380","7081"
"380","6853"
"380","1207"
"381","944"
"383","8006"
"384","662"
"385","2658"
"386","1925"
"386","612"
"387","4361"
"389","2654"
"389","8885"
"389","5446"
"391","1586"
"393","8860"
"395","3461"
"396","8994"
"396","5312"
"398","1543"
"399","4294"
"399","2829"
"399","5295"
"400","2572"
"400","1639"
"402","4307"
"402","2895"
"403","55"
"403","7117"
"404","5700"
"406","8021"
"406","6676"
"407","8410"
"407","7872"
"407","970"
"408","3962"
"408","6705"
"408","6307"
"410","2678"
"411","4570"
"411","4309"
"412","912"
"412","8737"
"413","8500"
"413","8280"
"413","7757"
"414","7691"
"415","3047"
"415","7258"
"416","4718"
"416","2461"
"417","4662"
"419","1339"
"419","3660"
"420","4902"
"420","3312"
"420","179"
"422","7824"
"423","1964"
"425","8752"
"425","7174"
"426","38"
"426","994"
"426","2031"
"428","914"
"428","3024"
"429","3063"
"429","5481"
"429","1823"
"430","585"
"431","6212"
"432","8858"
"433","1063"
"433","8151"
"433","8445"
"434","5858"
"435","5580"
"435","3711"
"435","7179"
"436","324"
"436","4933"
"437","1406"
"438","2736"
"443","613"
"444","1273"
"444","4014"
"445","5005"
"445","6090"
"445","581"
"447","6393"
"447","3512"
"449","2463"
"449","8689"
"449","3007"
"450","7004"
"452","3844"
"452","4407"
"453","103"
"453","4321"
"453","665"
"454","5583"
"454","4844"
"454","1652"
"455","676"
"455","2457"
"456","7560"
"456","3544"
"456","6420"
"457","2199"
"457","6355"
"457","7883"
"458","8889"
"459","3431"
"459","8027"
"459","8281"
"462","2795"
"464","5205"
"464","104"
"464","3445"
"465","89"
"466","5811"
"467","8630"
"468","3512"
"469","2423"
"471","7266"
"471","5782"
"471","1147"
"472","6202"
"472","4596"
"472","2046"
"473","171"
"473","2482"
"473","1434"
"475","2565"
"476","3748"
"477","5045"
"477","6389"
