"payment_method_number","type"
"1","Bank Transfer"
"2","Cash"
"3","Online"
"4","Online"
"5","Cash"
"6","Bank Transfer"
"7","Credit Card"
"8","Cash"
"9","Credit Card"
"10","Credit Card"
"11","Credit Card"
"12","Bank Transfer"
"13","Bank Transfer"
"14","Credit Card"
"15","Cheque"
"16","Online"
"17","Bank Transfer"
"18","Cheque"
"19","Cheque"
"20","Online"
"21","Credit Card"
"22","Cheque"
"23","Cheque"
"24","Cheque"
"25","Credit Card"
"26","Credit Card"
"27","Bank Transfer"
"28","Bank Transfer"
"29","Cheque"
"30","Credit Card"
"31","Credit Card"
"32","Online"
"33","Cheque"
"34","Bank Transfer"
"35","Online"
"36","Credit Card"
"37","Bank Transfer"
"38","Cheque"
"39","Credit Card"
"40","Cheque"
"41","Online"
"42","Online"
"43","Online"
"44","Cash"
"45","Cheque"
"46","Online"
"47","Online"
"48","Cheque"
"49","Online"
"50","Cheque"
"51","Credit Card"
"52","Cheque"
"53","Cheque"
"54","Cash"
"55","Credit Card"
"56","Cash"
"57","Online"
"58","Cheque"
"59","Credit Card"
"60","Cash"
"61","Cheque"
"62","Bank Transfer"
"63","Cash"
"64","Credit Card"
"65","Cash"
"66","Cash"
"67","Cash"
"68","Online"
"69","Bank Transfer"
"70","Credit Card"
"71","Credit Card"
"72","Credit Card"
"73","Cheque"
"74","Credit Card"
"75","Credit Card"
"76","Bank Transfer"
"77","Cheque"
"78","Cheque"
"79","Cash"
"80","Online"
"81","Cheque"
"82","Cheque"
"83","Bank Transfer"
"84","Credit Card"
"85","Cheque"
"86","Cheque"
"87","Online"
"88","Bank Transfer"
"89","Online"
"90","Cheque"
"91","Cheque"
"92","Bank Transfer"
"93","Cash"
"94","Cash"
"95","Cheque"
"96","Cheque"
"97","Online"
"98","Online"
"99","Online"
"100","Credit Card"
"101","Cheque"
"102","Credit Card"
"103","Cash"
"104","Cheque"
"105","Cheque"
"106","Bank Transfer"
"107","Cheque"
"108","Cash"
"109","Cheque"
"110","Credit Card"
"111","Cheque"
"112","Credit Card"
"113","Online"
"114","Online"
"115","Bank Transfer"
"116","Cheque"
"117","Online"
"118","Online"
"119","Bank Transfer"
"120","Bank Transfer"
"121","Cheque"
"122","Credit Card"
"123","Cheque"
"124","Credit Card"
"125","Bank Transfer"
"126","Cash"
"127","Cheque"
"128","Cash"
"129","Credit Card"
"130","Cheque"
"131","Cash"
"132","Cash"
"133","Cheque"
"134","Cash"
"135","Cheque"
"136","Cash"
"137","Bank Transfer"
"138","Cheque"
"139","Bank Transfer"
"140","Online"
"141","Bank Transfer"
"142","Cash"
"143","Credit Card"
"144","Bank Transfer"
"145","Bank Transfer"
"146","Bank Transfer"
"147","Credit Card"
"148","Credit Card"
"149","Bank Transfer"
"150","Online"
"151","Credit Card"
"152","Credit Card"
"153","Credit Card"
"154","Cheque"
"155","Bank Transfer"
"156","Online"
"157","Credit Card"
"158","Cheque"
"159","Cash"
"160","Cash"
