"portfolio_id","portfolio_name","description","Due_Date","escrow","estate_cost"
"1","Speculative XB","We TV perhaps professional by.","2027-08-16","193524.66","4758500.1"
"2","Balanced TG","Project for recent never court professor here.","2026-12-23","368677.03","3033426.57"
"3","Growth LN","Feeling nature a expert involve oil pressure let kind degree.","2025-10-22","86449.13","864373.15"
"4","Income YY","Probably exist professional people behavior weight.","2024-10-16","38460.97","4344263.11"
"5","LongTerm RT","Southern challenge animal worker particularly shoulder lay.","2027-07-25","304546.36","3569555.63"
"6","Balanced OK","Responsibility himself hundred challenge reach throughout.","2027-06-15","20086.4","4852558.28"
"7","Income XG","Despite sound receive let newspaper true building card let.","2026-01-20","417896.89","1140461.64"
"8","Speculative JM","Wear through partner rest measure store natural today.","2026-12-16","99094.23","998682.1"
"9","Speculative EC","Seem style everyone sing machine dream key.","2026-10-30","159078.7","2671306.51"
"10","Speculative SP","From throw ball character him check degree.","2025-07-23","221653.06","1527022.79"
"11","Income AV","Letter artist strategy hope show watch affect thing offer local.","2025-04-16","309807.92","783519.92"
"12","Balanced TW","Table well industry section national owner determine detail.","2025-08-25","153150.88","1895173.03"
"13","Income FB","From quickly identify close level camera performance agree.","2025-06-21","233474.29","3947362.21"
"14","Income LK","Base investment term consider employee.","2025-03-09","107840.15","2619748.75"
"15","LongTerm ND","Front they everything week instead strong like see.","2024-01-06","300283.14","327607.02"
"16","LongTerm WO","Sit prepare senior wear current.","2023-11-18","307696.98","935568.21"
"17","Balanced NJ","Call prove nor design record short cold.","2026-05-18","41875.28","4749539.13"
"18","LongTerm VT","Sing clearly find official up.","2026-03-30","483159.7","4061147.01"
"19","Speculative RY","Walk cup option store drug recent feeling range.","2027-03-22","159260.75","578593.36"
"20","LongTerm HY","Site girl into have media game support state black whether.","2026-07-01","345274.18","2256747.22"
"21","Speculative DT","Itself safe whole establish space Mrs.","2025-11-07","69798.74","2526366.86"
"22","Balanced DB","Environmental system store beautiful think during let particular her agreement.","2027-05-31","26850.38","4555669.97"
"23","Income UL","Deep something future they red everybody act way beat.","2026-11-09","136802.19","3346359.19"
"24","Income AF","Serve real position make society behavior develop reality fill ok.","2025-10-22","162738.43","2648333.3"
"25","LongTerm JH","International second former reflect even edge building court.","2024-04-20","277888.04","1005786.83"
"26","Speculative VI","Course school everybody operation set others.","2024-03-22","485096.47","3898150.83"
"27","Growth MS","Guess few remain call animal approach factor.","2024-05-01","470354.48","4484654.02"
"28","Growth OW","Bill activity expect long future whole education technology box.","2024-01-27","302970.99","4617183.75"
"29","Growth ZF","Officer rather charge specific we.","2024-02-27","53361.33","1060316.03"
"30","Income PH","Share paper so difficult mission late kind team wrong figure.","2026-06-08","32161.37","1694118.62"
"31","Income DN","Way debate decision produce church.","2024-07-14","200451.87","1429610.26"
"32","Speculative JE","Able late order fact discuss religious.","2026-10-14","416081.38","1848091.3"
"33","LongTerm DE","Under skin person product value interesting name.","2026-07-20","147657.91","2759210.81"
"34","Growth JR","Author coach film see notice eye.","2024-04-28","79052.87","4030765.21"
"35","Speculative DS","Record wall matter management ball always it.","2025-03-01","46529.82","4935745.99"
"36","Speculative MQ","Before while structure offer week.","2027-01-18","388399.94","1073706.84"
"37","LongTerm RR","American series like prepare trouble consider one play man before.","2025-04-10","12705.84","4095761.0"
"38","Speculative AV","Prove tax form really explain war spend nearly.","2025-09-23","356360.1","3672135.12"
"39","LongTerm FU","Follow wife identify method write price my.","2025-07-20","387922.47","462818.79"
"40","Balanced DM","Gun series personal service data near until just recognize building.","2026-06-22","185648.21","667758.39"
"41","LongTerm MZ","Report financial add impact different success box.","2024-04-17","432920.68","3154160.82"
"42","Growth PJ","Usually factor relate indeed lot line lead certain course.","2026-05-06","172140.03","411435.92"
"43","Growth GV","Tell everybody so increase various meet.","2027-04-14","162381.34","1693398.28"
"44","LongTerm AS","Study oil process tend land machine forward.","2027-01-15","367507.03","3224031.61"
"45","Balanced IY","Usually thank wonder draw him task improve fish list.","2027-09-05","444734.24","2413853.13"
"46","Balanced ZY","Write society present charge who call whole forward.","2024-03-21","68601.18","3594899.46"
"47","Growth CG","Treat address century that wide avoid sit enter perhaps however.","2024-02-19","382784.67","2850258.27"
