"project_id","project_name","start_date","end_date","location","unit_id"
"1","Lake Christineton Project 1","2022-12-02","2024-12-01","West Deannaside","6744"
"2","East Tonymouth Project 2","2024-02-28","2025-02-27","Lindamouth","965"
"3","North Hannah Project 3","2023-11-29","2027-11-28","Jenniferview","3023"
"4","South Jasmineside Project 4","2024-08-13","2027-08-13","Amyfort","5062"
"5","New Michael Project 5","2021-08-07","2024-08-06","Hillside","8240"
"6","New Ericport Project 6","2021-06-23","2025-06-22","Ambermouth","6586"
"7","Grosstown Project 7","2020-10-18","2023-10-18","Kimberlybury","1329"
"8","Lake Tammyfurt Project 8","2022-02-27","2026-02-26","New Felicia","4661"
"9","New Justin Project 9","2024-01-19","2027-01-18","Davidsonville","8983"
"10","North Maryberg Project 10","2021-03-15","2023-03-15","Port Anthony","4418"
"11","Leeton Project 11","2021-04-01","2025-03-31","Barretthaven","4313"
"12","Brandonbury Project 12","2023-06-13","2027-06-12","North Sarahborough","5797"
"13","Hebertland Project 13","2023-08-01","2024-07-31","Owenton","4610"
"14","Shortton Project 14","2022-04-30","2024-04-29","Allisonland","206"
"15","Christianborough Project 15","2024-05-05","2028-05-04","North Jessicaside","2913"
"16","East Alicia Project 16","2022-06-07","2025-06-06","New Colleen","7358"
"17","Reeseshire Project 17","2021-07-21","2024-07-20","Emilychester","4770"
"18","East Lauraside Project 18","2024-07-19","2027-07-19","Wagnerburgh","439"
"19","Mahoneymouth Project 19","2023-01-24","2024-01-24","Meganchester","7343"
"20","Mckenziemouth Project 20","2024-01-17","2028-01-16","New Amy","8682"
"21","Michaelmouth Project 21","2022-05-22","2025-05-21","Moyertown","1198"
"22","West Caitlinhaven Project 22","2023-11-19","2024-11-18","West Adam","367"
"23","Port Leslie Project 23","2021-09-26","2022-09-26","Samanthahaven","1543"
"24","North Benjamin Project 24","2023-02-28","2027-02-27","Ericview","2661"
"25","East Jonathan Project 25","2022-05-10","2025-05-09","Christopherfurt","4572"
"26","Lake Chris Project 26","2023-03-20","2025-03-19","Lauraburgh","2175"
"27","New Dawnton Project 27","2022-11-14","2025-11-13","Millerton","1133"
"28","Michaelchester Project 28","2024-09-18","2026-09-18","Conradville","911"
"29","Lake Denise Project 29","2024-06-29","2026-06-29","Lake Kimberlyfurt","3977"
"30","Alicemouth Project 30","2021-01-09","2024-01-09","West Wayne","7687"
"31","North Emily Project 31","2021-09-24","2023-09-24","Maddoxshire","1081"
"32","East Ryanfurt Project 32","2022-12-10","2023-12-10","East Matthew","247"
"33","New Raymondland Project 33","2022-10-26","2023-10-26","Shawberg","7669"
"34","South Anita Project 34","2024-01-13","2027-01-12","Fostershire","5895"
"35","East Charles Project 35","2021-08-17","2025-08-16","Morrisshire","6138"
"36","Lake Robertstad Project 36","2021-03-05","2022-03-05","Jamesstad","6669"
"37","Port Kevinstad Project 37","2023-04-27","2026-04-26","Hansonmouth","3163"
"38","East Gina Project 38","2020-12-25","2022-12-25","Port Jessica","3315"
"39","Lake Brianberg Project 39","2021-02-27","2022-02-27","Alexanderville","3925"
