"transaction_id","name","transaction_date","amount","tax","discount_amount","payment_status","transaction_type","customer_id","payment_method_number","employee_id"
"1","TXN-1-OEV","2023-08-09","3818549.26","0.0","38185.49","Cancelled","Deposit","8","151","104.0"
"2","TXN-2-PGU","2023-12-17","1292805.26","0.0","0.0","Pending","Deposit","1443","152","155.0"
"3","TXN-3-IOL","2024-09-18","2404969.27","336695.7","72149.08","Paid","Deposit","6817","590","251.0"
"4","TXN-4-LGQ","2025-09-27","4960095.82","496009.58","248004.79","Pending","Rent","7518","442","265.0"
"5","TXN-5-ARY","2024-02-28","3433878.82","343387.88","0.0","Pending","Rent","2331","512","376.0"
"6","TXN-6-TRR","2025-04-22","4207101.14","588994.16","126213.03","Paid","Sale","3369","16","1.0"
"7","TXN-7-PKK","2023-10-26","2075408.34","207540.83","62262.25","Paid","Refund","2813","368","227.0"
"8","TXN-8-ZBD","2023-07-13","3839768.89","537567.64","115193.07","Cancelled","Rent","487","267","291.0"
"9","TXN-9-YUC","2023-04-20","204464.85","0.0","6133.95","Pending","Rent","7883","543","298.0"
"10","TXN-10-DPX","2024-01-19","616310.09","30815.5","6163.1","Paid","Sale","3272","281","294.0"
"11","TXN-11-PJN","2022-03-12","1016946.82","50847.34","0.0","Cancelled","Rent","5138","138","229.0"
"12","TXN-12-OHW","2024-04-10","2010955.72","281533.8","100547.79","Cancelled","Deposit","2416","295","37.0"
"13","TXN-13-OCA","2024-04-14","4229032.9","211451.65","42290.33","Cancelled","Deposit","2827","468","189.0"
"14","TXN-14-FOL","2024-05-03","1732637.72","242569.28","86631.89","Cancelled","Deposit","7194","56","72.0"
"15","TXN-15-SWE","2022-04-29","3273796.73","458331.54","163689.84","Paid","Deposit","5213","403","289.0"
"16","TXN-16-FOY","2023-06-16","3547152.85","354715.29","177357.64","Paid","Rent","5419","303",""
"17","TXN-17-NGB","2023-03-13","2931739.41","0.0","146586.97","Pending","Sale","179","33","226.0"
"18","TXN-18-TBN","2024-01-01","1787495.36","250249.35","53624.86","Pending","Rent","5027","521","5.0"
"19","TXN-19-VDL","2025-01-31","2886112.6","144305.63","0.0","Pending","Deposit","1075","125",""
"20","TXN-20-PGY","2024-03-01","1712643.43","85632.17","85632.17","Pending","Deposit","7868","482","317.0"
"21","TXN-21-LOW","2023-11-10","421200.95","0.0","4212.01","Pending","Sale","15","351","250.0"
"22","TXN-22-TFV","2022-03-26","4964034.28","496403.43","248201.71","Cancelled","Sale","2963","542","301.0"
"23","TXN-23-ABN","2023-08-31","637657.9","63765.79","6376.58","Pending","Deposit","7310","388","100.0"
"24","TXN-24-TLN","2022-11-20","363597.22","0.0","3635.97","Paid","Deposit","1676","272","61.0"
"25","TXN-25-KNI","2024-03-25","4392896.68","0.0","219644.83","Cancelled","Sale","4212","21","133.0"
"26","TXN-26-KOU","2022-05-02","1510569.64","75528.48","0.0","Cancelled","Rent","4841","337","233.0"
"27","TXN-27-BZB","2025-08-16","3252184.28","325218.43","32521.84","Pending","Refund","4423","276","359.0"
"28","TXN-28-BJW","2023-06-08","1646370.64","164637.06","0.0","Cancelled","Refund","1715","127",""
"29","TXN-29-ZZB","2025-01-05","1958488.45","97924.42","0.0","Cancelled","Sale","6506","74","14.0"
"30","TXN-30-WOY","2023-11-28","1312040.63","183685.69","39361.22","Cancelled","Rent","776","524",""
"31","TXN-31-RHA","2024-04-09","1716533.94","171653.39","51496.02","Pending","Refund","7985","567","179.0"
"32","TXN-32-FOY","2022-04-20","2054680.6","102734.03","102734.03","Cancelled","Refund","425","500",""
"33","TXN-33-WQU","2024-03-09","3602639.51","360263.95","0.0","Pending","Sale","5094","380","251.0"
"34","TXN-34-DVE","2024-01-23","2558657.9","0.0","127932.9","Paid","Refund","5479","223","15.0"
"35","TXN-35-OWT","2022-10-16","4717938.96","660511.45","235896.95","Paid","Deposit","5848","208",""
"36","TXN-36-CSS","2024-04-21","211318.21","29584.55","6339.55","Pending","Rent","28","508","231.0"
"37","TXN-37-EQM","2025-10-17","2516335.48","0.0","75490.06","Cancelled","Refund","329","493","183.0"
"38","TXN-38-FWS","2024-08-13","2921955.49","146097.77","146097.77","Cancelled","Refund","4053","337","4.0"
"39","TXN-39-ETK","2022-01-19","4601144.54","230057.23","230057.23","Paid","Refund","4635","112","336.0"
"40","TXN-40-PRP","2024-06-10","247694.3","24769.43","7430.83","Pending","Deposit","882","559","265.0"
"41","TXN-41-XFX","2024-01-03","2868350.93","143417.55","86050.53","Pending","Rent","4320","170","125.0"
"42","TXN-42-GKO","2023-10-09","4268442.38","213422.12","0.0","Paid","Refund","6581","361",""
"43","TXN-43-FEY","2023-01-03","1211154.79","121115.48","36334.64","Paid","Refund","7607","291","149.0"
"44","TXN-44-NFW","2025-08-17","4381709.16","613439.28","0.0","Pending","Deposit","6018","230","19.0"
"45","TXN-45-GNZ","2022-04-19","97178.96","4858.95","0.0","Cancelled","Refund","4704","234",""
"46","TXN-46-AGY","2022-12-28","3662808.24","183140.41","109884.25","Pending","Deposit","7347","393","371.0"
"47","TXN-47-CVC","2024-11-27","4665699.88","0.0","233284.99","Cancelled","Sale","7040","476","115.0"
"48","TXN-48-RCY","2025-02-18","3286673.91","328667.39","0.0","Paid","Sale","6576","21","331.0"
"49","TXN-49-IMI","2023-01-31","2196268.16","0.0","0.0","Paid","Refund","4329","435","78.0"
"50","TXN-50-UAK","2023-03-19","226315.32","22631.53","11315.77","Paid","Sale","2876","124","246.0"
"51","TXN-51-PUE","2024-05-31","4600728.84","230036.44","138021.87","Paid","Sale","7165","432","19.0"
"52","TXN-52-ZGC","2022-09-21","2352540.52","0.0","0.0","Pending","Rent","7268","508","348.0"
"53","TXN-53-VFI","2021-11-16","146925.73","20569.6","1469.26","Paid","Refund","5192","590","385.0"
"54","TXN-54-NKO","2021-12-12","3449725.71","172486.29","172486.29","Pending","Refund","6347","192","12.0"
"55","TXN-55-GMX","2024-10-05","2410222.59","337431.16","120511.13","Pending","Rent","728","79","303.0"
"56","TXN-56-LIO","2023-06-29","623477.9","62347.79","6234.78","Cancelled","Deposit","6224","212","196.0"
"57","TXN-57-GEZ","2022-09-21","1072930.5","150210.27","10729.31","Cancelled","Sale","3642","333","149.0"
"58","TXN-58-LUJ","2023-08-05","324324.42","16216.22","0.0","Pending","Deposit","2057","275","335.0"
"59","TXN-59-OJQ","2024-03-13","2872319.11","0.0","143615.96","Cancelled","Deposit","2586","589","309.0"
