"unit_id","type","area","status","price","location","floor_number","transaction_id","customer_id","portfolio_id","monthly_rent"
"1","Villa","240.0","Sold","727205.83","Pittsbury","7","","","46.0","47223.32"
"2","Villa","222.43","Under Construction","1115649.81","West Amanda","23","","","85.0",""
"3","Villa","81.47","Sold","395571.74","South Jeremy","10","","","293.0",""
"4","Apartment","375.75","Under Construction","2220412.71","South Todd","20","","","303.0","21835.95"
"5","Studio","82.09","Under Construction","180870.85","East Jeffreyside","29","","","252.0","50230.62"
"6","Apartment","331.87","Under Construction","963384.47","Nicholsshire","12","","","193.0",""
"7","Apartment","317.07","Under Construction","1796749.1","South Joshuashire","20","","","217.0",""
"8","Apartment","423.17","Under Construction","208940.41","Coxchester","11","","","133.0",""
"9","Commercial","114.8","Sold","217888.67","Brooksmouth","7","","","33.0",""
"10","Apartment","395.22","Under Construction","1991838.54","Patrickport","18","5432.0","7452.0","112.0",""
"11","Studio","273.48","Under Construction","254975.35","West Carl","21","2242.0","2172.0","148.0","24771.74"
"12","Villa","158.55","Available","1423820.83","Eatonburgh","4","1481.0","6223.0","107.0",""
"13","Apartment","142.09","Under Construction","228751.67","Port Kellyfurt","18","","","80.0",""
"14","Apartment","338.27","Reserved","782746.52","Melendezstad","21","2829.0","4180.0","143.0",""
"15","Apartment","222.74","Sold","362783.26","Williamsberg","6","","","172.0",""
"16","Apartment","368.06","Available","1435553.1","North Brianberg","8","","","28.0","72520.51"
"17","Commercial","240.62","Sold","2356492.9","Lake Virginia","23","","","322.0","71781.98"
"18","Commercial","274.23","Under Construction","2338038.92","Vincentstad","8","","","229.0",""
"19","Studio","169.08","Sold","945823.3","South Matthewshire","18","","","131.0","7456.32"
"20","Apartment","279.52","Sold","1818713.73","West Nathanhaven","29","1656.0","4392.0","323.0",""
"21","Apartment","356.01","Reserved","417049.9","Garzaland","16","","","395.0",""
"22","Apartment","219.33","Under Construction","483314.87","East Veronica","18","","","233.0",""
"23","Apartment","309.78","Under Construction","436968.61","West Tanner","22","2301.0","2152.0","",""
"24","Villa","410.23","Reserved","615054.88","North Sheilaport","15","","","275.0",""
"25","Villa","155.93","Sold","2134720.49","Edwardborough","19","","","387.0",""
"26","Apartment","225.26","Available","108790.07","Jenniferport","14","","","226.0","41588.56"
"27","Villa","70.09","Available","2464094.56","East Charles","23","5018.0","4577.0","389.0",""
"28","Studio","279.07","Sold","678504.91","Rojasport","5","","","179.0",""
"29","Apartment","268.94","Reserved","238324.4","Proctorborough","11","","","272.0",""
"30","Villa","366.95","Under Construction","2317053.73","Lake Chadview","2","","","399.0",""
"31","Commercial","397.89","Sold","887306.13","Moralestown","9","","","392.0",""
"32","Studio","170.19","Available","135964.65","Shannonbury","10","","","379.0",""
"33","Commercial","305.33","Reserved","1360516.72","Christophershire","29","4878.0","2505.0","158.0","38910.32"
"34","Studio","411.67","Reserved","461303.31","Rodriguezmouth","10","5171.0","5046.0","118.0","4734.64"
"35","Villa","65.43","Available","597260.02","Lake Danielland","14","1753.0","7985.0","225.0","6529.7"
"36","Apartment","243.68","Available","819521.62","New Vincent","26","","","199.0",""
"37","Studio","109.9","Under Construction","1887705.98","South Rachelburgh","2","5874.0","964.0","142.0","19538.3"
"38","Commercial","320.36","Sold","905699.02","Washingtonton","1","1465.0","2233.0","364.0",""
"39","Studio","247.41","Reserved","2337974.25","Allenchester","21","2110.0","175.0","81.0",""
"40","Villa","50.5","Under Construction","1275648.04","West Nicholas","2","","","69.0","68936.14"
"41","Studio","279.01","Available","728332.77","Jenniferport","23","1730.0","2915.0","165.0",""
"42","Villa","200.04","Available","1716650.79","Jacksonshire","17","","","248.0",""
"43","Commercial","404.69","Reserved","150612.62","West Tristan","8","","","130.0","9436.95"
"44","Apartment","169.9","Under Construction","620310.23","Lake Danielport","23","","","44.0",""
"45","Villa","144.95","Sold","592111.5","Emilychester","6","1099.0","6745.0","213.0",""
"46","Studio","116.27","Under Construction","370028.72","East Crystal","12","2796.0","2104.0","354.0",""
"47","Villa","422.59","Under Construction","403264.19","Brownbury","22","","","142.0",""
"48","Commercial","119.83","Reserved","653351.02","Morrischester","28","","","264.0","74909.13"
"49","Studio","348.62","Sold","1984763.6","Williamfurt","15","","","399.0","11961.63"
"50","Apartment","382.07","Available","1050073.05","South Joanna","11","","","193.0",""
"51","Studio","144.07","Reserved","1460587.7","South Cynthia","15","","","152.0",""
"52","Commercial","376.21","Sold","1957697.77","New Philipburgh","17","","","172.0","71639.81"
"53","Commercial","420.17","Sold","633399.07","South Trevor","10","","","275.0",""
"54","Commercial","210.9","Sold","85839.92","Port Maryland","7","918.0","542.0","186.0",""
"55","Villa","399.92","Under Construction","428701.77","Port Sandy","29","","","","69472.09"
"56","Studio","171.7","Sold","951927.3","Rossfurt","15","3212.0","7772.0","372.0",""
"57","Villa","51.24","Reserved","850853.03","South Emma","1","","","246.0",""
"58","Studio","403.67","Available","112591.13","West Mariafurt","5","6881.0","988.0","374.0","34880.89"
"59","Villa","48.03","Reserved","958762.39","Lake Kevinburgh","20","169.0","1780.0","216.0",""
"60","Villa","106.65","Available","667935.06","North Justinton","18","","","344.0","70697.48"
"61","Villa","215.96","Sold","720805.08","Laurenport","28","","","",""
"62","Studio","279.58","Reserved","398162.05","New Alex","19","","","263.0",""
"63","Commercial","142.65","Sold","1388307.52","Clarkview","27","","","227.0","22051.75"
"64","Commercial","316.84","Available","1254153.69","Lindseyhaven","16","899.0","3965.0","172.0","62671.17"
"65","Apartment","428.52","Available","333721.98","Youngfort","2","","","","29434.54"
"66","Villa","167.61","Sold","420398.15","Leestad","30","899.0","3965.0","286.0",""
"67","Commercial","371.28","Under Construction","1911702.82","Zhangview","11","2162.0","60.0","",""
"68","Studio","236.04","Under Construction","1367538.41","East Edward","26","","","",""
"69","Villa","59.71","Reserved","1410993.01","North Cynthiachester","15","","","","64141.96"
"70","Commercial","273.14","Reserved","700000.61","Bryanberg","10","6581.0","5506.0","",""
"71","Apartment","312.03","Reserved","935646.65","Meredithside","12","","","325.0",""
"72","Commercial","261.12","Under Construction","1244535.14","Port Lauren","12","","","306.0",""
"73","Apartment","193.19","Available","1811251.05","South Allisonshire","0","","","246.0",""
"74","Villa","401.81","Under Construction","62770.67","Lopeztown","27","","","307.0","74954.86"
"75","Villa","247.28","Under Construction","1766793.11","West Matthew","15","3751.0","7667.0","87.0","69027.47"
"76","Studio","228.85","Available","2095686.48","Ryanhaven","8","6295.0","7735.0","166.0","17499.11"
"77","Studio","101.05","Sold","1660804.85","South Kathrynstad","16","6758.0","7371.0","50.0",""
"78","Villa","396.11","Available","2236444.13","East Michaelshire","25","","","306.0",""
"79","Apartment","302.15","Sold","1337448.61","North Dustin","13","","","289.0","29185.87"
"80","Apartment","441.7","Available","833254.43","Kaylaburgh","30","","","155.0","60558.14"
"81","Commercial","255.77","Reserved","1540855.24","Leslieton","8","2127.0","5709.0","173.0",""
"82","Villa","198.29","Sold","2413816.66","Johnfurt","28","6975.0","2180.0","324.0",""
"83","Commercial","272.25","Sold","2347579.69","Port Brittanyton","10","420.0","475.0","297.0","4576.95"
"84","Commercial","272.66","Available","1807107.88","Silvaton","5","","","186.0",""
"85","Villa","344.21","Available","2267193.36","Amyton","9","","","167.0",""
"86","Villa","36.83","Reserved","50808.89","Weberhaven","5","5089.0","2803.0","219.0","39892.02"
"87","Apartment","47.16","Reserved","2437604.76","West Jim","25","","","152.0",""
"88","Villa","127.16","Under Construction","1208028.59","Smithland","30","","","395.0","8646.46"
"89","Commercial","251.65","Reserved","980892.51","New Todd","17","","","212.0",""
"90","Villa","53.53","Available","871054.45","West Jared","16","","","218.0",""
"91","Villa","197.45","Under Construction","2475307.65","West Gregoryshire","3","","","198.0",""
"92","Apartment","121.27","Reserved","1384710.06","Stephaniebury","13","4123.0","1548.0","61.0",""
"93","Apartment","444.74","Available","1990447.06","Micheleberg","11","","","260.0",""
"94","Villa","447.25","Sold","2422330.87","South Janicehaven","20","1688.0","2369.0","259.0",""
"95","Apartment","238.16","Available","1756120.83","Lake Colleen","16","4299.0","2939.0","132.0","12393.68"
"96","Apartment","218.08","Available","2032095.43","Craigville","2","","","299.0",""
"97","Villa","244.71","Under Construction","1771612.63","Schultzton","10","","","","60677.1"
"98","Commercial","140.19","Under Construction","2195463.46","Kellystad","20","5208.0","2589.0","106.0",""
"99","Studio","225.83","Available","564953.5","East Jerryshire","17","","","66.0",""
"100","Apartment","394.15","Reserved","1073656.07","South Justinmouth","19","4307.0","1712.0","","61023.75"
"101","Commercial","262.43","Sold","985585.79","Port Katie","30","","","319.0",""
"102","Apartment","371.1","Under Construction","1481951.33","West Marc","0","4450.0","5483.0","323.0",""
"103","Villa","197.08","Under Construction","318514.78","North Lisaport","22","","","186.0",""
"104","Studio","406.61","Available","136900.48","Port Jennifer","30","","","119.0",""
"105","Studio","393.22","Sold","931905.74","Steventown","22","","","12.0","52589.75"
"106","Commercial","417.71","Under Construction","421681.21","Cathyport","29","","","250.0",""
"107","Studio","270.28","Sold","1922860.51","East Martinhaven","25","2961.0","1225.0","185.0",""
"108","Apartment","349.4","Sold","1337798.19","North Ann","0","","","263.0",""
"109","Villa","294.27","Sold","1905941.14","East Elizabeth","26","3973.0","3741.0","223.0",""
