transaction_id,name,transaction_date,amount,tax,discount_amount,payment_status,transaction_type,customer_id,payment_method_number,employee_id
1,TXN-1-LGT,2022-02-26,2496182.79,0.0,74885.48,Failed,Sale,6206,596,342.0
2,TXN-2-BZK,2022-01-15,4657812.18,652093.71,0.0,Refunded,Refund,5579,31,62.0
3,TXN-3-MYS,2022-12-16,2917497.88,145874.89,145874.89,Refunded,Rent,3559,537,204.0
4,TXN-4-XJX,2023-10-12,2692844.17,0.0,0.0,Failed,Refund,2439,507,210.0
5,TXN-5-HBM,2022-04-05,2273504.7,318290.66,0.0,Paid,Rent,2021,146,283.0
6,TXN-6-MHI,2022-01-06,1048020.23,146722.83,10480.2,Refunded,Refund,4324,343,91.0
7,TXN-7-AMW,2023-10-27,20590.86,2882.72,617.73,Refunded,Rent,1384,157,49.0
8,TXN-8-DBE,2024-10-28,1209048.12,120904.81,60452.41,Pending,Deposit,7435,453,148.0
9,TXN-9-JOR,2022-12-27,2549596.41,356943.5,0.0,Pending,Deposit,5039,345,302.0
10,TXN-10-ONL,2024-01-26,1901039.84,266145.58,95051.99,Failed,Rent,2625,293,209.0
11,TXN-11-ERS,2023-06-09,2243529.17,0.0,22435.29,Paid,Sale,611,482,26.0
12,TXN-12-VIQ,2025-10-06,4903279.8,490327.98,245163.99,Pending,Refund,1226,94,5.0
13,TXN-13-XIL,2022-03-05,1752661.31,175266.13,52579.84,Refunded,Refund,5501,386,110.0
14,TXN-14-HKD,2025-04-19,2262010.33,226201.03,67860.31,Refunded,Deposit,1679,191,84.0
15,TXN-15-JZD,2022-10-30,669310.73,33465.54,33465.54,Refunded,Sale,4623,219,303.0
16,TXN-16-POZ,2025-06-26,241692.75,12084.64,0.0,Paid,Deposit,6529,99,294.0
17,TXN-17-NFB,2025-05-16,3877496.75,0.0,0.0,Refunded,Rent,4496,532,217.0
18,TXN-18-BRJ,2023-03-16,2854274.51,399598.43,85628.24,Refunded,Rent,7997,158,208.0
19,TXN-19-PCS,2022-09-28,3804002.62,532560.37,114120.08,Failed,Sale,5444,481,260.0
20,TXN-20-XQG,2024-04-30,751014.27,37550.71,7510.14,Refunded,Sale,3968,442,26.0
21,TXN-21-YAC,2025-05-04,2860000.2,400400.03,0.0,Paid,Deposit,7525,425,146.0
22,TXN-22-RTN,2022-12-09,1269705.09,177758.71,63485.25,Refunded,Deposit,2868,503,123.0
23,TXN-23-QQM,2022-11-17,1141852.96,114185.3,57092.65,Paid,Deposit,2089,506,106.0
24,TXN-24-GIE,2024-12-01,59607.02,2980.35,1788.21,Refunded,Refund,1072,514,290.0
25,TXN-25-TLK,2023-02-18,653442.94,65344.29,32672.15,Failed,Refund,2825,90,280.0
