contractor_id,contractor_name,phone,email,project_id,start_date,end_date,payment_terms
1,"Garrett, Cohen and Crane",001-796-488-3275x3273,"garrett,@contractor.com",158,2020-11-20,2036-10-27,30 days
2,Brown-Johnson,473.597.3278x195,brown-johnson@contractor.com,156,2023-04-01,2039-07-06,Advance
3,Bowen-Jones,+1-968-276-1648x19807,bowen-jones@contractor.com,8,2020-12-05,2027-03-04,Advance
4,Cain-Clayton,(768)876-1124x912,cain-clayton@contractor.com,180,2020-12-16,2029-11-29,Advance
5,"Morgan, Durham and Pope",915-617-7345x475,"morgan,@contractor.com",90,2021-09-07,2024-03-25,60 days
6,"Hill, Johnson and Taylor",603-459-5442x9477,"hill,@contractor.com",37,2023-01-04,2037-04-20,Milestone
7,"Trujillo, Anderson and Lawson",830-939-4290x458,"trujillo,@contractor.com",18,2022-06-04,2027-11-05,30 days
8,"Yoder, Compton and Schneider",758.556.7287x27601,"yoder,@contractor.com",24,2023-04-16,2036-11-03,60 days
9,Clark-Hernandez,001-313-757-7908x33506,clark-hernandez@contractor.com,97,2023-05-19,2034-08-19,Milestone
10,"Jones, Tran and Nichols",507-598-3342,"jones,@contractor.com",88,2023-01-29,2028-10-29,Advance
11,"Love, Thompson and Krause",+1-541-531-2840,"love,@contractor.com",80,2021-12-02,2031-03-15,30 days
12,Willis PLC,518.305.1371x717,willis@contractor.com,14,2022-10-27,2028-06-27,60 days
13,"Lawrence, George and Evans",001-661-873-9970,"lawrence,@contractor.com",159,2020-10-30,2024-04-12,30 days
14,"Nelson, Welch and Murphy",944.248.3548x84712,"nelson,@contractor.com",70,2022-11-05,2034-08-04,Milestone
15,Barry-Hicks,(421)564-1758,barry-hicks@contractor.com,125,2022-11-25,2038-02-04,Milestone
16,Hines and Sons,845.487.1493x92523,hines@contractor.com,107,2022-02-05,2030-03-25,60 days
17,Bishop and Sons,779.964.3474x52455,bishop@contractor.com,132,2022-03-05,2027-01-08,Advance
18,Coleman-Long,5605652740,coleman-long@contractor.com,111,2022-07-25,2027-04-30,Advance
19,"Moran, Phillips and Brooks",(465)788-3398x74113,"moran,@contractor.com",174,2022-02-27,2037-01-09,Milestone
20,"Castillo, Griffith and Harrison",001-767-934-9960x10548,"castillo,@contractor.com",135,2020-12-26,2037-05-31,Advance
21,Rodriguez-Taylor,662-629-4938x17359,rodriguez-taylor@contractor.com,12,2021-02-07,2028-03-02,Milestone
22,"Johnson, Barton and Jones",001-555-673-2573x755,"johnson,@contractor.com",154,2023-10-07,2027-05-19,30 days
23,Munoz-Cantu,766-267-0808,munoz-cantu@contractor.com,53,2021-05-21,2030-03-05,60 days
24,"Kim, Johnson and Gordon",+1-374-495-1191,"kim,@contractor.com",36,2022-03-08,2029-12-26,Advance
25,"Mathis, Miller and Nielsen",+1-931-864-7725x1295,"mathis,@contractor.com",84,2023-05-21,2028-04-24,30 days
26,Morales LLC,+1-960-503-5624x395,morales@contractor.com,128,2020-10-25,2032-04-25,60 days
27,"Schaefer, Barry and Espinoza",(232)434-2108,"schaefer,@contractor.com",34,2023-03-31,2033-09-04,60 days
28,"Bailey, Jones and Harrell",+1-833-242-6433x50271,"bailey,@contractor.com",129,2021-10-08,2035-12-24,Advance
29,Dillon-Dickerson,(307)476-3369x1128,dillon-dickerson@contractor.com,19,2021-09-05,2032-06-09,30 days
30,Martinez Group,(956)233-1857x481,martinez@contractor.com,112,2023-05-13,2026-02-26,Milestone
31,James Group,855-941-6431,james@contractor.com,20,2022-06-29,2031-07-12,Milestone
32,Bean LLC,502-632-9028x22700,bean@contractor.com,147,2023-07-18,2034-06-20,Milestone
33,Williamson-Morrow,(928)522-5120,williamson-morrow@contractor.com,75,2022-07-29,2027-06-03,Milestone
34,Powell-Brooks,+1-850-405-0702x608,powell-brooks@contractor.com,6,2021-12-01,2031-03-14,60 days
35,Garcia LLC,461-217-7687,garcia@contractor.com,159,2021-09-26,2033-10-23,Advance
36,Alvarez-Lam,(558)459-1779,alvarez-lam@contractor.com,23,2021-11-19,2033-06-19,30 days
37,Robertson and Sons,+1-611-464-9133x42457,robertson@contractor.com,63,2021-10-01,2033-05-01,Milestone
38,Henderson-Stanley,001-206-903-2020x3265,henderson-stanley@contractor.com,135,2023-04-04,2027-05-13,Milestone
39,Mathews-Lopez,(473)679-4871x4855,mathews-lopez@contractor.com,80,2023-03-31,2032-10-09,60 days
40,Roman-Freeman,515.984.1560x821,roman-freeman@contractor.com,86,2023-02-15,2029-02-13,30 days
41,Martinez Ltd,(854)576-8182,martinez1@contractor.com,131,2022-01-18,2037-10-26,30 days
42,Larsen and Sons,758.592.9880,larsen@contractor.com,136,2020-11-10,2034-01-01,60 days
43,"Valentine, Schmidt and Brooks",+1-829-932-8963x40646,"valentine,@contractor.com",90,2021-03-20,2030-12-28,60 days
44,Morris-Griffith,2148843991,morris-griffith@contractor.com,61,2022-01-25,2026-09-01,60 days
45,Thomas and Sons,(326)469-3351x3426,thomas@contractor.com,66,2021-10-27,2028-05-23,60 days
46,Ramos Ltd,001-950-418-4819x73741,ramos@contractor.com,155,2021-12-17,2027-08-18,30 days
47,Beard Ltd,306-341-7692x743,beard@contractor.com,46,2022-03-30,2037-11-06,Milestone
48,"Morrison, George and Cox",366.201.4448x5645,"morrison,@contractor.com",119,2023-08-14,2037-11-28,Milestone
49,Marquez Group,001-873-896-4178,marquez@contractor.com,175,2021-10-28,2036-02-12,Advance
50,Guzman PLC,891-213-5996,guzman@contractor.com,161,2023-07-11,2032-07-23,60 days
51,Holland-Alexander,001-280-766-0392,holland-alexander@contractor.com,113,2022-10-01,2026-08-11,Milestone
