portfolio_id,portfolio_name,description,reg_date,fees_amount
1,Speculative XB,We TV perhaps professional by.,2022-05-07,6243.56
2,Balanced GT,For recent never court professor here security community.,2024-08-19,14310.0
3,Growth TZ,Street fight decision size parent focus kid put memory soldier.,2021-03-27,11247.92
4,Income QF,Middle plan friend stand seem pull different.,2021-06-26,9381.22
5,LongTerm JB,Each little sure authority increase.,2025-02-23,3184.26
6,Balanced KM,Manager during prevent accept seem show blood interesting.,2021-04-15,3183.92
7,Income ZS,Let newspaper true building card let most next fish sense.,2023-07-23,1813.17
8,Speculative NU,Interview trade knowledge city technology late seem style everyone.,2024-03-23,13126.47
9,Speculative FO,Ever back experience even floor music catch.,2021-10-04,9415.61
10,Speculative YS,Relationship ask imagine my indeed deal.,2023-05-14,10913.02
11,Income YX,Watch affect thing offer local wall fear hope through structure.,2024-05-15,1288.18
12,Balanced VV,Son today major event magazine home protect something right subject.,2020-11-16,14578.74
13,Income NI,Trade option production base investment.,2023-09-20,12654.2
14,Income LD,Here deep force seven here sell story.,2021-12-08,3972.75
15,LongTerm FE,See appear weight difference.,2020-05-17,3545.55
16,LongTerm XP,Senior wear current after charge.,2020-11-12,3567.66
17,Balanced EQ,Nor design record short cold.,2024-12-15,5259.39
18,LongTerm VT,Sing clearly find official up.,2024-09-08,8346.59
19,Speculative RY,Walk cup option store drug recent feeling range.,2020-10-27,7047.23
20,LongTerm YK,Girl into have media game.,2023-05-14,5077.21
21,Speculative FG,Whether player stock religious itself safe whole establish space.,2024-05-15,9565.94
22,Balanced XE,Itself room environmental system store beautiful think during let.,2024-12-25,2952.91
23,Income QY,Agreement surface consider deep something future they red.,2022-02-21,5090.03
24,Income JA,Way beat result major serve real position make society behavior.,2021-09-04,6129.07
25,LongTerm ZS,Fill ok list most international second former.,2025-10-08,7384.98
26,Speculative DR,Edge building court build movie several continue.,2021-08-19,11992.46
27,Growth VE,Right with modern executive beyond create dinner.,2021-04-26,3795.43
28,Growth TA,Call animal approach factor want point sell bill activity expect.,2023-11-12,8199.28
29,Growth CV,Whole education technology box assume man.,2024-09-12,9293.8
30,Income OR,Charge specific we be easy.,2024-07-15,1650.31
31,Income WA,Other peace simply herself training father open investment notice art.,2020-08-20,9505.63
32,Speculative WN,Decision produce church community avoid able late order fact discuss religious.,2025-10-09,3387.34
33,LongTerm DE,Under skin person product value interesting name.,2025-04-20,1910.72
34,Growth JR,Author coach film see notice eye.,2020-11-06,14284.4
35,Speculative DS,Record wall matter management ball always it.,2022-07-14,14518.85
36,Speculative MQ,Before while structure offer week.,2025-07-05,12317.56
37,LongTerm RK,Several compare million kind everything.,2024-10-08,5264.59
38,Speculative BO,Why like impact fly bit claim in many production.,2023-03-14,2367.41
39,LongTerm WJ,Lawyer fire follow wife identify.,2024-03-02,10579.26
40,Balanced AQ,Left approach million performance material kind appear environment capital explain.,2025-09-24,7162.13
41,LongTerm FH,Win participant dream citizen nearly.,2024-06-27,2708.54
42,Growth AF,Yeah tree left brother strategy marriage respond.,2024-02-14,7932.48
43,Growth TR,Strong woman during necessary himself two meet these tell.,2022-02-21,1481.44
44,LongTerm XY,Future skin environment able rise study oil process tend.,2023-08-04,13730.49
45,Balanced IE,Forward several help usually thank wonder draw him.,2023-04-15,4622.92
46,Balanced CU,Relate specific history professional star wonder manager already maybe.,2024-10-23,10275.31
47,Growth VG,Between treat address century that wide avoid sit enter.,2025-02-03,5363.96
48,Balanced SZ,System system teacher here first.,2023-12-11,8280.95
49,Speculative IC,Attention piece TV young section its better plant their kitchen really.,2020-01-14,8653.94
50,Income CU,Fall hear certainly most not.,2021-04-28,3587.96
51,Speculative KL,Participant him raise marriage on.,2021-10-07,14574.18
52,Growth DO,Least project together let explain national available.,2022-09-24,11851.86
53,Balanced LT,Real lead few yourself table blood high grow fast.,2025-09-27,14152.99
54,LongTerm SB,Ever not rate seat any paper market tough.,2022-03-24,13527.58
55,Income XZ,Parent good PM per question return process.,2020-12-14,9370.6
56,LongTerm OG,Position final kid often run bed far section compare car much.,2022-11-26,13906.24
57,Growth HG,Store either station loss southern second full.,2020-10-08,2238.9
58,Balanced DE,Senior difficult put purpose however suffer.,2024-07-13,3743.76
59,LongTerm XF,Add Mr lawyer pull public once state wait.,2020-09-17,1633.18
60,LongTerm RO,Agent this no trip determine as statement travel few.,2023-04-07,5554.62
61,Income HI,Watch fight manage best thought.,2020-12-11,6441.48
62,Income YD,Provide sea watch industry score choice increase between.,2023-12-15,4798.89
63,Balanced NA,Allow have kitchen wear talk between rate.,2024-06-03,12602.33
64,Income PW,Huge couple business summer lawyer.,2025-06-06,5994.55
65,LongTerm NP,Wife anything four writer skin day stop never only spend.,2021-10-09,4933.08
66,LongTerm VX,Small other everyone worker would music.,2021-04-11,8597.75
67,Growth HQ,Capital group small open administration.,2022-01-18,2972.94
68,LongTerm DI,Moment second live sing message board mean war analysis.,2025-05-25,12230.76
69,Balanced HT,Poor all your suggest international blue Republican kitchen tonight.,2022-07-13,2043.71
70,Speculative MJ,Call person one Republican herself.,2024-11-15,14816.42
71,Growth HS,Measure involve soldier boy pressure there necessary tend involve.,2021-09-25,11811.43
72,Growth AV,Human role fine fine effort well rather listen before.,2020-07-08,3782.02
73,Balanced FB,Season head candidate art what.,2024-07-27,1077.31
74,Balanced VQ,Improve them wait institution trouble anything.,2022-03-28,12416.46
75,Income MT,Billion medical choice lot suggest glass news boy.,2022-02-28,10896.0
76,Growth KO,Suddenly window stand party poor ago upon stop environment.,2021-04-29,11206.1
77,Income RS,Tv go consider century price attorney scientist.,2020-01-20,11797.78
78,LongTerm FV,Democrat information game have return since nothing be apply church.,2025-01-17,2036.63
79,Growth DR,Evening product magazine kind event.,2024-02-24,6018.52
80,Growth HW,Book question or money final determine worker area daughter.,2021-08-03,2622.17
81,Speculative XI,Face build market issue can mouth discover.,2024-07-17,13083.45
82,Growth QZ,Author technology amount affect TV television office of.,2025-03-27,9726.17
83,LongTerm AS,If whom commercial way least.,2025-08-28,5632.57
84,Income XF,Such during open model how financial fund four collection.,2024-02-19,1889.82
85,Income OH,Member town glass road standard spring door chair culture own.,2025-05-14,5353.75
86,Speculative EL,Management senior service large under north play person ten physical character.,2020-05-16,5552.57
87,LongTerm EC,Field ever argue medical financial later arm story baby ten talk.,2025-01-08,11214.49
88,Income MG,Leg never social time last special prepare focus.,2023-11-02,9925.8
89,Balanced GJ,Late specific study word base.,2025-04-15,13420.98
90,LongTerm LC,Remain yard model particular hair truth hold.,2022-09-02,7611.01
91,LongTerm RM,Smile positive at behind question.,2022-03-17,2674.32
92,Speculative QU,Their four old center glass whose recognize hot organization visit.,2022-06-04,10985.43
93,Income JY,Spend prove stock school rate money position interest.,2022-11-14,11650.99
94,LongTerm BX,Congress degree way main difficult case baby.,2020-08-26,8857.88
95,Income GX,Strong this also from short capital heavy class story side.,2021-03-14,11793.54
96,Balanced UC,Improve put down know expect.,2023-08-11,7913.14
97,Speculative OI,Finally speak light strong happy water worker.,2023-09-20,8318.26
98,Balanced XS,Me industry class current painting their appear lose.,2022-12-13,6985.57
99,Speculative JG,Surface expect several evening town challenge join watch develop later.,2022-10-07,1355.87
100,LongTerm BA,How hear history bank different.,2022-07-03,2510.48
101,Speculative GT,Social case expert stop receive catch relationship large.,2019-11-02,1440.01
102,Growth FB,Democratic change vote participant institution simply down.,2020-10-29,9909.75
103,Income DP,Police performance artist student matter movie place offer responsibility.,2022-04-08,5400.98
104,Income BA,Good number cost property model guess well name skill medical after.,2023-10-16,8119.99
105,Growth CO,Wonder effect administration small general run pick sign.,2022-08-15,13705.93
106,Balanced IC,National spend compare single let receive place specific.,2020-04-30,4490.09
107,Growth TX,Already cut social though firm financial huge spring list.,2020-02-07,6745.36
108,LongTerm WP,Experience television answer pretty event son.,2023-07-05,11577.72
109,LongTerm ZV,Thus hit wind many marriage under mind song risk.,2020-06-18,4203.17
110,Income BM,Nation fly bag produce fill owner.,2023-06-01,2077.72
111,LongTerm KS,Goal amount thank good your ever woman way avoid.,2025-03-19,5056.52
112,Income ZX,Song quickly well central parent sit alone attack sing hand.,2023-01-18,3257.1
113,Growth KC,Check last he know baby case happen fire everything whether.,2020-01-05,14015.77
114,Growth VL,Military trial brother simple region Democrat partner really your.,2021-06-29,12313.69
115,Growth HI,Later together knowledge because radio.,2022-07-05,9867.65
116,Income QW,Nearly face feel church remember.,2025-09-30,13200.45
117,Growth OL,Meeting building cut catch so ago network hard.,2024-06-25,12251.41
118,Growth IN,Assume huge response long improve.,2023-04-11,3611.98
119,Balanced KE,Win politics last quite general there.,2024-06-24,13495.83
120,Growth LX,Item treat area buy check clearly.,2022-07-15,8550.79
121,LongTerm TO,Way million exist bad cultural what ever person.,2025-01-06,12304.16
122,Income IF,Political option oil commercial person top front under American.,2020-01-13,13545.28
123,Balanced FC,Enough decision occur peace air threat nation politics few each.,2025-08-14,5452.05
124,Speculative ZT,Authority art keep machine daughter parent fine responsibility safe.,2022-09-24,2540.73
125,Income ZI,Middle blood drop business last cell anything war.,2025-01-09,4191.09
