owner_ship_id,owner_id,unit_id
1,1,6217
2,2,1942
3,3,2802
4,4,4087
5,4,7712
6,5,7390
7,6,3510
8,6,7891
9,7,1781
10,7,823
11,7,7215
12,8,8708
13,10,3387
14,11,7151
15,12,1976
16,13,5714
17,14,6403
18,15,2622
19,16,2016
20,17,3895
21,18,8552
22,19,4210
23,20,6374
24,20,2456
25,20,8105
26,22,1906
27,22,3441
28,23,2212
29,23,2629
30,24,4131
31,26,8922
32,27,5046
33,27,8354
34,27,6630
35,28,1196
36,28,5587
37,29,7727
38,30,7495
39,30,358
40,30,6975
41,31,2991
42,32,8696
43,33,7935
44,33,1889
45,33,69
46,34,3054
47,34,6166
48,35,6640
49,36,1075
50,36,664
51,36,4919
52,37,2183
53,38,5435
54,39,1999
55,40,3290
56,41,7772
57,42,5774
58,43,6619
59,43,6631
60,43,2415
61,44,7852
62,44,1943
63,44,4305
64,45,5471
65,46,3364
66,47,8198
67,47,1361
68,48,6513
69,49,3824
70,50,3828
71,50,6941
72,50,6980
73,51,768
74,51,5767
75,51,3644
76,53,3839
77,54,1882
78,54,5301
79,55,4671
80,55,1444
81,56,6190
82,56,4471
83,56,1288
84,57,5345
85,58,8323
86,58,591
87,58,6489
88,59,4289
89,60,995
90,61,6580
91,61,203
92,61,4849
93,62,8988
94,63,3260
95,63,1097
96,64,3590
97,65,7444
98,66,3773
99,66,8143
100,66,6581
101,67,7739
102,68,8806
103,69,5569
104,69,627
105,70,1383
106,71,6388
107,72,8977
108,73,1011
109,73,6968
110,74,183
111,75,4093
112,76,4866
113,77,7898
114,77,3148
115,78,4744
116,80,6073
117,81,7028
118,82,1968
119,83,649
120,84,556
121,84,3851
122,85,3979
123,85,7704
124,86,3912
125,86,3652
126,87,7422
127,87,704
128,88,8153
129,89,3036
130,89,6750
131,89,2549
132,90,5063
133,91,6748
134,91,2568
135,92,4957
136,92,4722
137,92,5200
138,93,1248
139,94,4280
140,95,1561
141,96,2577
142,96,2272
143,97,675
144,99,3527
145,100,7778
146,100,123
147,100,4823
148,101,7645
149,101,4986
150,101,4037
151,102,7737
152,102,6904
153,103,2374
154,103,6495
155,104,6136
156,105,1158
157,105,5197
158,105,2682
159,106,5493
160,107,7158
161,108,347
162,109,3450
163,109,863
164,110,80
165,110,8275
166,111,4439
167,111,4574
168,111,5596
169,112,2383
170,112,2430
171,113,1983
172,113,5018
173,114,3700
174,114,5340
175,115,557
176,116,6908
177,117,8303
178,118,5922
179,119,1628
180,120,3391
181,120,4080
182,121,4148
183,121,2022
184,121,8923
185,122,5021
186,122,7047
187,123,1835
188,124,1618
189,125,6281
190,125,8443
191,126,486
192,127,1161
193,128,2471
194,129,7706
195,129,4326
196,130,2602
197,131,513
198,132,8134
199,133,4497
200,133,7403
201,134,1918
202,135,6016
203,136,6772
204,136,1617
205,137,4337
206,138,6195
207,139,3352
208,139,3253
209,140,633
210,141,2863
211,142,1126
212,144,6715
213,145,4000
214,146,2983
215,147,7902
216,147,8447
217,147,4056
218,148,6026
219,149,3228
220,150,905
221,150,3652
222,151,3370
223,152,2733
224,153,6012
225,153,401
226,154,4605
227,155,7030
228,155,920
229,156,7591
230,157,2142
231,157,7476
232,158,6267
233,158,6118
234,159,382
235,159,3004
236,160,251
237,161,2553
238,161,2417
239,161,3085
240,162,1765
241,163,3166
242,164,5892
243,165,5043
244,166,4080
245,167,2061
246,168,7461
247,168,6562
248,169,7840
249,170,6542
250,171,7035
251,171,610
252,171,3536
253,172,2859
254,173,75
255,174,3188
256,175,4081
257,176,4102
258,177,3604
259,178,5590
260,179,2740
261,180,586
262,181,2745
263,181,7697
264,182,4082
265,183,269
266,184,3811
267,185,657
268,186,8439
269,187,7081
270,188,8675
271,188,276
272,189,837
273,190,6140
274,191,5927
275,191,8096
276,192,2126
277,193,5833
278,194,8617
279,195,1640
280,195,8727
281,197,7626
282,197,6350
283,197,7683
284,198,7292
285,198,8393
286,199,1033
287,200,5751
288,200,1350
289,200,1078
290,201,1730
291,201,6744
292,201,2773
293,202,4374
294,202,733
295,203,3265
296,203,3106
297,203,8583
298,204,7811
299,205,4991
300,205,8828
301,205,7263
302,206,6637
303,208,6939
304,209,575
305,210,1901
306,211,2201
307,212,149
