segment_id,segment_name,description,target_income_range
1,Premium,Agent every development say.,30952-64592
2,Budget,Beautiful instead ahead despite measure ago current.,10819-147196
3,Investors,Information last everything thank serve civil institution.,19012-82098
4,Renters,Choice whatever from behavior benefit.,17314-68289
5,Corporate,Page southern role movie win her.,34132-63434
6,Retail,Fall pick those gun court attorney product.,32174-147080
7,Premium,World talk term herself law.,39234-121482
8,Budget,Class great prove reduce raise author.,12848-127397
9,Investors,Move each left establish.,23825-54165
10,Renters,Detail food shoulder argue start source husband.,10976-62280
11,Corporate,Decision wall then fire.,17164-80495
12,Retail,How trip learn enter east no enjoy.,26559-128907
13,Premium,Investment on gun young catch management sense technology.,10869-123563
14,Budget,Physical society instead as.,16515-143850
15,Investors,Other life edge network wall quite.,31295-141924
16,Renters,Race Mr environment political.,27856-104987
17,Corporate,Fall citizen about reveal.,17223-108878
18,Retail,Will seven medical blood personal.,29309-86463
19,Premium,Participant check several much single morning a.,36523-50851
20,Budget,Major born guy world southern dream.,34864-70926
21,Investors,There water beat magazine attorney.,32876-105392
22,Renters,She campaign little near enter their institution.,21149-86421
23,Corporate,Up sense ready require human.,15094-78221
24,Retail,Just military building different full open.,35018-94118
25,Premium,Open according remain arrive attack.,13349-62156
26,Budget,Teacher audience draw.,22449-62676
27,Investors,Democrat car very number line six space.,21763-95082
28,Renters,Behind probably great in tell.,29782-84671
29,Corporate,Pull worker better.,36447-55695
30,Retail,Rock song body court movie cell.,33911-110217
31,Premium,Everything economic type kitchen.,27571-66361
32,Budget,Better present music address behavior send door.,22403-60328
33,Investors,Magazine degree husband around her world.,28089-88427
34,Renters,Unit size expect recent room.,37177-132397
35,Corporate,Product main couple design around save article.,30267-97400
36,Retail,Arm once me system church whether.,28918-75203
37,Premium,Surface attention attack technology.,33087-59116
38,Budget,Build three east organization people information.,11501-136673
39,Investors,North first end prove fire enter capital population.,17467-87930
40,Renters,First sell authority leader your you available.,12614-80512
41,Corporate,Media car give attention each.,38392-63238
42,Retail,Citizen street region particularly would.,22455-86434
43,Premium,Account stage federal professional voice care break.,24857-133320
44,Budget,Score choice example decision.,37332-97819
45,Investors,Data plant enough major town suffer.,15329-98520
46,Renters,Plant stop analysis four.,21641-77460
47,Corporate,Pm energy scientist necessary.,31960-84993
48,Retail,Night born war real chance along.,32997-139593
49,Premium,Old challenge camera final together someone.,31234-59358
50,Budget,Together decide economic.,29960-133227
51,Investors,Government nice themselves wind.,15607-120010
52,Renters,Understand door class son.,33892-82087
53,Corporate,Thing agent say forward.,15354-110589
54,Retail,Soon ten specific environment skin blue.,22433-85382
55,Premium,Teach develop staff.,30971-140198
56,Budget,Glass star the development process huge everything.,28250-78785
57,Investors,Whom evidence political hundred.,32433-92504
58,Renters,Former agree theory end oil worker although.,37618-57331
59,Corporate,Its rock finish paper memory history office effort.,17505-54207
60,Retail,Ability understand Mrs rest score provide.,36379-91347
