unit_id,type,status,price,location,floor_number,transaction_id,customer_id,portfolio_id,project_id
1,Studio,Reserved,1575931.63,Joemouth,9,3777.0,3279.0,138.0,95
2,Commercial,Sold,424577.67,Millerville,0,,,306.0,118
3,Studio,Under Construction,2119736.38,South Brad,15,,,224.0,60
4,Apartment,Under Construction,529649.02,Wilsonfurt,12,140.0,3526.0,281.0,48
5,Villa,Sold,2334091.25,Lake Joshuaberg,13,,,178.0,67
6,Villa,Reserved,663899.66,Josephfurt,11,686.0,7093.0,180.0,41
7,Studio,Available,1848008.38,Millerhaven,3,4535.0,7821.0,348.0,131
8,Apartment,Available,747405.71,New Matthewfort,0,,,233.0,150
9,Commercial,Sold,828574.25,Robertfort,18,,,,44
10,Apartment,Available,809504.54,Port Theresa,14,,,,171
11,Villa,Reserved,1882336.02,South Ericmouth,0,,,224.0,70
12,Commercial,Available,1414197.04,Huntstad,14,,,241.0,10
13,Commercial,Sold,2213233.52,Lucashaven,19,,,361.0,17
14,Studio,Available,803063.16,Allenside,11,,,31.0,67
15,Villa,Available,1745381.68,Lake Justinburgh,5,,,365.0,162
16,Studio,Sold,1894724.07,Michaelfurt,19,5491.0,7489.0,326.0,151
17,Studio,Sold,421131.18,Randyport,4,,,395.0,121
18,Villa,Available,1031443.93,Port Cameronside,9,4029.0,1560.0,237.0,131
19,Studio,Reserved,1232902.86,West Dennis,6,,,1.0,27
20,Villa,Sold,921434.11,Johnhaven,2,,,345.0,51
21,Villa,Under Construction,839175.86,North Jessicaview,20,562.0,3901.0,366.0,152
22,Commercial,Under Construction,1731728.74,Rebeccamouth,5,,,17.0,35
23,Studio,Sold,578872.67,Craneton,13,3442.0,2693.0,,17
24,Commercial,Sold,1788007.33,East Cherylmouth,18,4020.0,647.0,350.0,84
25,Villa,Reserved,2340858.28,Tuckerton,10,,,212.0,39
26,Studio,Reserved,1434733.93,North Brianberg,9,,,41.0,19
27,Apartment,Reserved,1548013.88,New Loretta,16,,,133.0,154
28,Villa,Reserved,218885.12,West Michaelview,15,,,105.0,101
29,Apartment,Available,2167968.41,South Joshua,15,3528.0,6382.0,217.0,165
30,Commercial,Under Construction,749347.08,Cathychester,11,,,,140
31,Villa,Sold,1556875.36,South Amanda,11,2968.0,7486.0,,14
32,Studio,Available,2448824.82,Wheelerport,15,,,89.0,22
33,Villa,Available,1508981.37,South Katherinetown,0,,,364.0,65
34,Villa,Under Construction,1825538.24,Lake Carrieshire,3,2711.0,2397.0,314.0,22
35,Commercial,Sold,1141033.06,Port Brittanyside,4,,,297.0,67
36,Apartment,Under Construction,197896.32,East Annaport,14,,,,140
37,Studio,Available,2004118.41,Jamesland,19,,,124.0,172
38,Villa,Available,135747.16,Guerrerofurt,14,4826.0,2138.0,279.0,174
39,Commercial,Available,1766611.68,Hillfurt,7,,,361.0,151
40,Studio,Under Construction,106157.85,East Angelaville,16,,,379.0,61
41,Commercial,Available,2162647.83,Benjaminville,12,,,143.0,71
42,Apartment,Under Construction,436208.29,South Cheryl,0,5340.0,7186.0,265.0,14
43,Apartment,Under Construction,1309965.16,West Curtis,17,2679.0,1054.0,,160
44,Studio,Available,1513019.23,North Christopherville,14,,,,25
45,Studio,Under Construction,1170986.25,North Joseph,0,,,,60
46,Commercial,Reserved,884870.55,Carsonfort,13,1075.0,3424.0,136.0,49
47,Villa,Reserved,1196145.03,Port Gabrielfort,1,,,126.0,39
48,Commercial,Sold,812968.6,Fischermouth,2,,,67.0,118
49,Villa,Sold,1123399.75,Claireland,10,,,362.0,147
50,Commercial,Reserved,929336.83,Ingramstad,18,,,,20
51,Villa,Reserved,1437201.82,Connieton,15,,,160.0,17
52,Studio,Available,632914.2,New Brett,6,3751.0,1470.0,,65
53,Commercial,Under Construction,2472208.56,East Reneeburgh,6,2615.0,6078.0,367.0,162
54,Apartment,Available,1277131.39,East Kevinmouth,14,,,,28
55,Commercial,Available,525697.09,Vasquezborough,4,,,,47
56,Studio,Available,1218813.54,Stephaniefort,19,,,,89
57,Studio,Under Construction,2172717.07,Karenburgh,19,,,397.0,169
58,Villa,Reserved,103426.64,Port Karen,17,,,,59
59,Studio,Sold,1714907.59,Johnsonburgh,18,1568.0,5580.0,93.0,164
60,Villa,Sold,1392521.1,Paulview,2,5203.0,6564.0,177.0,80
61,Apartment,Available,465417.09,Danielchester,11,,,232.0,129
62,Apartment,Sold,2052817.28,Lake Kimberlyview,12,,,332.0,123
63,Studio,Sold,953767.32,East Alexchester,14,,,161.0,171
64,Commercial,Sold,769814.97,Freemanstad,19,,,210.0,16
65,Villa,Reserved,2078906.72,Kimberlyhaven,16,,,276.0,140
66,Commercial,Available,1614386.36,Trevortown,6,6184.0,4700.0,259.0,48
67,Villa,Reserved,2250734.76,Jacobsview,1,5576.0,7442.0,101.0,132
68,Studio,Sold,1593215.07,Gonzalesberg,2,,,343.0,55
69,Apartment,Sold,1865003.26,Lake Eric,17,,,,41
70,Apartment,Reserved,2099292.45,East Angela,11,,,335.0,44
71,Studio,Reserved,184112.11,Alyssabury,7,359.0,1991.0,264.0,170
72,Studio,Reserved,1951319.95,Lake Frederickfort,6,765.0,462.0,12.0,83
73,Villa,Sold,1553580.88,North Williammouth,1,2393.0,6683.0,296.0,56
74,Apartment,Available,220294.1,Chadborough,10,,,197.0,167
75,Studio,Available,1296015.91,Lake Sherrifort,17,,,,141
76,Commercial,Sold,252022.29,North Virginia,7,,,,104
77,Villa,Reserved,1853070.64,Foxburgh,3,,,43.0,103
78,Villa,Reserved,1388929.2,Loganland,2,,,,119
79,Studio,Under Construction,2386255.17,Kimberlyburgh,15,2365.0,3807.0,255.0,55
80,Apartment,Reserved,498681.66,Laurastad,9,,,237.0,74
81,Studio,Under Construction,1534781.96,New Kimberly,3,,,,158
82,Commercial,Sold,568376.23,North Michaelport,15,,,122.0,82
83,Commercial,Available,1554459.21,West Patriciatown,10,,,,31
84,Apartment,Under Construction,1820491.77,Tamaraland,3,3245.0,1766.0,30.0,76
85,Villa,Under Construction,1819645.61,Millertown,4,5288.0,4738.0,234.0,147
86,Commercial,Available,2046931.28,Lake Thomasberg,17,,,338.0,59
87,Commercial,Under Construction,2141198.06,West Alyssaside,13,,,121.0,113
88,Commercial,Reserved,239315.73,Claytonport,1,,,1.0,52
89,Studio,Under Construction,891004.53,Taylorburgh,11,,,222.0,8
90,Villa,Reserved,1733450.17,North Rebeccashire,20,6410.0,7695.0,,63
91,Villa,Sold,1271536.4,New Ryanton,18,,,,46
92,Villa,Reserved,517156.07,Patricktown,19,848.0,2523.0,319.0,30
93,Villa,Sold,1404138.45,Hollyport,2,2906.0,1826.0,285.0,130
94,Studio,Available,1048217.35,Adamschester,3,,,376.0,22
95,Studio,Available,1005593.78,Brandonmouth,12,4428.0,1128.0,389.0,1
96,Villa,Reserved,2033896.61,East Hannahshire,12,,,124.0,154
97,Apartment,Available,1048615.92,South Kathryn,17,,,297.0,70
98,Studio,Sold,114813.54,Josephtown,20,,,88.0,173
99,Commercial,Available,192255.18,East Kimberly,12,,,349.0,142
100,Commercial,Reserved,2147797.9,Port Sherritown,8,,,13.0,23
101,Studio,Reserved,2403471.98,Mendozaborough,5,,,,124
102,Commercial,Under Construction,1736602.87,Justinfurt,7,5069.0,2172.0,69.0,170
103,Apartment,Under Construction,942702.32,Lake Johnborough,12,,,127.0,8
104,Commercial,Reserved,2349570.77,East Jonathan,17,,,,178
105,Studio,Sold,1673867.56,Smithborough,19,,,317.0,19
106,Villa,Reserved,2118617.2,Peckton,9,6203.0,6945.0,348.0,107
107,Studio,Sold,1926338.14,Lake Amanda,0,5819.0,3569.0,155.0,114
108,Studio,Available,978891.32,North Louis,17,2572.0,517.0,132.0,120
109,Villa,Sold,1222820.39,Kellerport,20,,,357.0,104
110,Studio,Available,506023.78,West Jacquelineport,17,5898.0,7659.0,41.0,51
111,Apartment,Sold,765434.55,North Rachelstad,14,,,114.0,23
112,Commercial,Sold,1956407.87,Lake Colleen,13,5330.0,4791.0,298.0,26
113,Studio,Sold,2240247.06,Port Heather,0,,,253.0,136
114,Studio,Sold,1824928.04,Stephanieport,4,5456.0,2826.0,145.0,2
115,Commercial,Reserved,1189675.56,South Thomasville,12,,,263.0,17
116,Villa,Reserved,261947.71,South Jasmineside,13,,,135.0,53
117,Commercial,Under Construction,189522.47,West Evanstad,2,,,14.0,135
118,Commercial,Available,967097.63,Port Matthew,7,,,252.0,113
119,Apartment,Sold,1186363.21,Shawborough,20,,,376.0,30
120,Villa,Under Construction,1542345.52,Gonzalesfort,10,267.0,7932.0,23.0,137
121,Villa,Available,65899.33,Richardview,19,,,,11
122,Villa,Reserved,2474821.08,Ninachester,16,4559.0,1313.0,396.0,143
123,Commercial,Reserved,941650.26,New Erin,4,1154.0,7295.0,28.0,5
124,Studio,Under Construction,2127831.93,South Christinehaven,1,,,166.0,128
125,Commercial,Available,1360668.43,Sandraburgh,2,6150.0,1684.0,142.0,60
126,Commercial,Available,369576.66,Lake Tracy,19,,,272.0,162
127,Villa,Sold,2004035.6,Lake Mary,20,,,371.0,114
128,Commercial,Under Construction,1789076.33,East Cheryl,8,,,124.0,127
129,Studio,Sold,1342218.41,Joshuabury,5,,,64.0,1
130,Villa,Under Construction,1310655.07,East Tylershire,4,,,,154
131,Commercial,Reserved,264325.03,Kingview,15,,,357.0,2
132,Commercial,Under Construction,1656829.92,West Janeton,4,,,15.0,159
133,Apartment,Under Construction,2282550.63,Port Sabrina,16,,,353.0,79
134,Apartment,Reserved,278450.05,Cruzfurt,5,,,140.0,130
135,Villa,Reserved,695603.05,East Daniel,18,,,184.0,131
136,Villa,Reserved,2260654.53,Port Sarah,3,,,388.0,113
137,Apartment,Reserved,746642.58,New Nicolasmouth,15,,,117.0,74
138,Villa,Sold,1652162.0,Port Amanda,11,4666.0,3918.0,128.0,119
139,Studio,Reserved,1360304.5,Sherryberg,2,,,339.0,90
140,Villa,Available,1511002.63,West Donald,8,4970.0,6346.0,234.0,130
141,Studio,Sold,1068682.81,Haleybury,5,465.0,6398.0,238.0,153
