"transaction_id","name","transaction_date","amount","tax","discount_amount","payment_status","transaction_type","customer_id","payment_method_number","employee_id"
"1","TXN-1-DOV","2022-06-26","2496182.79","124809.14","24961.83","Pending","Sale","6404","163",""
"2","TXN-2-VVR","2025-08-07","4657812.18","652093.71","139734.37","Failed","Rent","3522","29","173.0"
"3","TXN-3-DGI","2025-02-14","2917497.88","408449.7","145874.89","Refunded","Sale","2826","60","344.0"
"4","TXN-4-FIK","2025-05-23","2692844.17","0.0","80785.33","Pending","Refund","2934","471",""
"5","TXN-5-HKO","2025-06-20","2273504.7","113675.24","113675.24","Pending","Rent","964","404",""
"6","TXN-6-CVP","2022-07-15","1048020.23","0.0","0.0","Paid","Rent","5344","57","82.0"
"7","TXN-7-ZTX","2024-12-11","20590.86","1029.54","205.91","Refunded","Refund","7043","211",""
"8","TXN-8-XQU","2024-10-23","1209048.12","0.0","60452.41","Paid","Refund","112","354","225.0"
"9","TXN-9-FLM","2021-11-24","2549596.41","0.0","127479.82","Refunded","Deposit","5624","252","361.0"
"10","TXN-10-ZLF","2022-07-16","1901039.84","190103.98","19010.4","Refunded","Rent","486","30","173.0"
"11","TXN-11-GTD","2021-11-28","2243529.17","314094.08","0.0","Paid","Sale","4752","508","364.0"
"12","TXN-12-ZKR","2024-05-11","4903279.8","686459.17","0.0","Refunded","Sale","1622","256","14.0"
"13","TXN-13-YSD","2025-02-09","1752661.31","245372.58","17526.61","Paid","Rent","6547","416","93.0"
"14","TXN-14-JXH","2025-08-01","2262010.33","316681.45","67860.31","Pending","Refund","5105","176","45.0"
"15","TXN-15-HBM","2022-01-06","669310.73","93703.5","0.0","Refunded","Refund","1528","146","189.0"
"16","TXN-16-MHI","2023-10-27","241692.75","24169.28","7250.78","Failed","Deposit","6085","281","103.0"
"17","TXN-17-AMW","2024-10-28","3877496.75","193874.84","38774.97","Paid","Deposit","7326","590","136.0"
"18","TXN-18-DBE","2022-12-27","2854274.51","285427.45","85628.24","Pending","Sale","6376","241","140.0"
"19","TXN-19-JOR","2024-01-26","3804002.62","380400.26","190200.13","Pending","Refund","3248","577","351.0"
"20","TXN-20-ONL","2023-06-09","751014.27","75101.43","7510.14","Paid","Rent","267","265","276.0"
"21","TXN-21-ERS","2025-10-06","2860000.2","0.0","85800.01","Refunded","Rent","2983","532","80.0"
"22","TXN-22-VIQ","2022-03-05","1269705.09","0.0","38091.15","Refunded","Refund","6047","492","285.0"
"23","TXN-23-XIL","2025-04-19","1141852.96","57092.65","57092.65","Pending","Deposit","4024","91",""
"24","TXN-24-HKD","2022-10-30","59607.02","0.0","596.07","Paid","Sale","3747","341","97.0"
"25","TXN-25-JZD","2025-06-26","653442.94","0.0","32672.15","Refunded","Rent","306","125","54.0"
"26","TXN-26-POZ","2025-05-16","1547722.02","216681.08","0.0","Paid","Deposit","909","276","50.0"
"27","TXN-27-NFB","2023-03-16","586160.05","82062.41","29308.0","Pending","Sale","4457","116","282.0"
"28","TXN-28-BRJ","2022-09-28","4929320.49","492932.05","246466.02","Paid","Deposit","596","425","196.0"
"29","TXN-29-PCS","2024-04-30","1544545.98","77227.3","0.0","Failed","Refund","3168","32","361.0"
"30","TXN-30-XQG","2025-05-04","653359.09","0.0","0.0","Paid","Rent","4231","171","125.0"
"31","TXN-31-YAC","2022-12-09","997013.4","139581.88","29910.4","Failed","Sale","5811","277","115.0"
"32","TXN-32-RTN","2022-11-17","2939340.74","411507.7","29393.41","Refunded","Deposit","4103","253","115.0"
"33","TXN-33-QQM","2024-12-01","322089.53","32208.95","16104.48","Refunded","Deposit","734","274","334.0"
"34","TXN-34-GIE","2023-02-18","4312445.78","431244.58","129373.37","Failed","Sale","5177","323","64.0"
"35","TXN-35-TLK","2024-12-26","4807575.4","673060.56","240378.77","Refunded","Deposit","235","10","39.0"
"36","TXN-36-OAK","2023-07-04","1235243.61","61762.18","0.0","Refunded","Sale","5272","141",""
"37","TXN-37-HEZ","2023-11-16","2251576.15","225157.61","22515.76","Refunded","Refund","6553","483","385.0"
"38","TXN-38-UQX","2025-01-13","112627.99","11262.8","0.0","Refunded","Deposit","6093","213","120.0"
"39","TXN-39-KOJ","2024-08-01","3204269.7","448597.76","0.0","Failed","Rent","6863","462",""
"40","TXN-40-CFE","2024-02-20","2070802.44","289912.34","0.0","Paid","Rent","3330","370",""
"41","TXN-41-FPI","2025-01-18","1351752.21","67587.61","13517.52","Refunded","Sale","6583","266","359.0"
"42","TXN-42-OPT","2023-05-25","1035771.88","103577.19","31073.16","Failed","Sale","4604","279","17.0"
"43","TXN-43-WUC","2023-02-14","3270807.34","0.0","0.0","Paid","Refund","5661","431","9.0"
"44","TXN-44-KRR","2022-06-22","2082252.72","291515.38","62467.58","Paid","Refund","2498","186","225.0"
"45","TXN-45-SQF","2023-03-31","899937.13","125991.2","26998.11","Refunded","Deposit","3505","590","89.0"
"46","TXN-46-VJA","2024-12-12","3446167.19","344616.72","0.0","Refunded","Deposit","6903","363","353.0"
"47","TXN-47-MXT","2022-10-21","2826231.27","282623.13","141311.56","Failed","Refund","1381","513",""
"48","TXN-48-UCQ","2024-04-11","4293642.93","214682.15","214682.15","Paid","Sale","5312","458","25.0"
"49","TXN-49-JFU","2023-07-06","589144.54","82480.24","29457.23","Failed","Deposit","5711","327","220.0"
"50","TXN-50-XGB","2025-05-30","3928761.68","392876.17","117862.85","Paid","Rent","6686","420","285.0"
"51","TXN-51-BOL","2022-08-26","3368236.9","336823.69","33682.37","Refunded","Rent","2282","527","231.0"
"52","TXN-52-PMV","2023-03-06","576824.66","28841.23","0.0","Paid","Refund","742","456",""
"53","TXN-53-KVV","2024-12-13","3474714.01","173735.7","34747.14","Failed","Refund","5213","346","150.0"
"54","TXN-54-LEX","2025-09-21","2208853.35","110442.67","22088.53","Paid","Refund","7016","278","368.0"
"55","TXN-55-PGZ","2025-06-04","4725033.96","661504.75","0.0","Failed","Deposit","1424","252","81.0"
"56","TXN-56-HLW","2022-03-18","709773.53","70977.35","7097.74","Pending","Deposit","3960","174","266.0"
"57","TXN-57-WML","2023-11-05","3214881.29","450083.38","160744.06","Refunded","Refund","4701","569",""
"58","TXN-58-LQM","2024-08-01","1911136.27","95556.81","19111.36","Refunded","Rent","7253","334","114.0"
"59","TXN-59-CNU","2024-03-17","4784159.72","0.0","239207.99","Paid","Deposit","6783","85","95.0"
"60","TXN-60-YBK","2024-01-03","1651214.53","82560.73","82560.73","Paid","Rent","5531","535","325.0"
"61","TXN-61-CJZ","2023-07-22","4811005.18","240550.26","0.0","Refunded","Deposit","5962","591",""
"62","TXN-62-TEQ","2021-11-24","4507626.28","0.0","0.0","Paid","Sale","2464","411","52.0"
"63","TXN-63-BHX","2025-07-31","1353375.41","0.0","0.0","Paid","Deposit","4773","517","44.0"
"64","TXN-64-FVA","2025-08-03","4018101.8","0.0","120543.05","Failed","Sale","1413","310","368.0"
"65","TXN-65-SJL","2024-07-12","4978029.8","497802.98","149340.89","Pending","Refund","1976","509","290.0"
"66","TXN-66-RYQ","2022-12-22","1264809.68","177073.36","63240.48","Refunded","Refund","39","58","161.0"
"67","TXN-67-FVS","2024-07-20","2185012.29","218501.23","65550.37","Pending","Sale","1414","343","397.0"
