"unit_id","type","status","price","location","floor_number","transaction_id","customer_id","portfolio_id","project_id"
"1","Commercial","Sold","1575931.63","Port Raymondbury","6","3360.0","1596.0","239.0","4"
"2","Studio","Reserved","424577.67","Lovefurt","3","","","213.0","94"
"3","Commercial","Available","2119736.38","South Damonshire","2","","","40.0","129"
"4","Studio","Available","529649.02","South Brad","8","","","157.0","64"
"5","Commercial","Under Construction","2334091.25","Wilsonfurt","11","","","208.0","71"
"6","Studio","Reserved","663899.66","Lake Joshuaberg","14","","","143.0","46"
"7","Studio","Under Construction","1848008.38","Josephfurt","15","1895.0","2853.0","42.0","117"
"8","Villa","Available","747405.71","Millerhaven","19","5565.0","4975.0","178.0","101"
"9","Commercial","Reserved","828574.25","New Matthewfort","6","","","4.0","108"
"10","Commercial","Sold","809504.54","Robertfort","5","686.0","7512.0","118.0","93"
"11","Studio","Available","1882336.02","Port Theresa","3","6630.0","3349.0","211.0","47"
"12","Apartment","Available","1414197.04","South Ericmouth","0","","","","15"
"13","Apartment","Available","2213233.52","Huntstad","3","2010.0","5146.0","242.0","150"
"14","Studio","Sold","803063.16","Lucashaven","9","1909.0","5098.0","","55"
"15","Commercial","Available","1745381.68","Allenside","14","","","270.0","122"
"16","Apartment","Under Construction","1894724.07","Lake Justinburgh","5","","","349.0","153"
"17","Villa","Reserved","421131.18","Michaelfurt","10","","","","174"
"18","Villa","Available","1031443.93","Randyport","5","","","62.0","65"
"19","Studio","Sold","1232902.86","Port Cameronside","19","","","257.0","121"
"20","Studio","Under Construction","921434.11","West Dennis","15","1220.0","1775.0","237.0","131"
"21","Villa","Sold","839175.86","Johnhaven","7","1679.0","1.0","20.0","24"
"22","Villa","Under Construction","1731728.74","North Jessicaview","20","6915.0","5446.0","197.0","42"
"23","Villa","Reserved","578872.67","Rebeccamouth","13","1418.0","2105.0","","17"
"24","Studio","Sold","1788007.33","Craneton","13","","","","73"
"25","Studio","Under Construction","2340858.28","East Cherylmouth","4","","","234.0","115"
"26","Villa","Sold","1434733.93","Tuckerton","11","","","107.0","54"
"27","Studio","Reserved","1548013.88","North Brianberg","9","","","295.0","100"
"28","Studio","Sold","218885.12","New Loretta","10","","","134.0","52"
"29","Commercial","Available","2167968.41","West Michaelview","13","","","217.0","165"
"30","Apartment","Under Construction","749347.08","South Joshua","14","","","","15"
"31","Commercial","Under Construction","1556875.36","Cathychester","11","","","67.0","11"
"32","Apartment","Available","2448824.82","South Amanda","4","","","35.0","95"
"33","Studio","Available","1508981.37","Wheelerport","9","","","324.0","9"
"34","Apartment","Reserved","1825538.24","South Katherinetown","4","","","","6"
"35","Apartment","Sold","1141033.06","Lake Carrieshire","14","6089.0","7793.0","","130"
"36","Commercial","Sold","197896.32","Port Brittanyside","4","6819.0","3374.0","246.0","27"
"37","Studio","Reserved","2004118.41","East Annaport","19","3655.0","4718.0","344.0","161"
"38","Villa","Sold","135747.16","Jamesland","3","","","333.0","119"
"39","Commercial","Available","1766611.68","Guerrerofurt","7","","","206.0","61"
"40","Commercial","Sold","106157.85","Hillfurt","13","6812.0","1517.0","74.0","109"
"41","Commercial","Available","2162647.83","East Angelaville","10","","","267.0","166"
"42","Commercial","Available","436208.29","Benjaminville","10","4360.0","1740.0","","61"
"43","Apartment","Under Construction","1309965.16","South Cheryl","17","281.0","1529.0","331.0","104"
"44","Studio","Available","1513019.23","West Curtis","14","791.0","3752.0","154.0","116"
"45","Commercial","Available","1170986.25","North Christopherville","1","2468.0","6483.0","193.0","34"
"46","Villa","Under Construction","884870.55","North Joseph","9","","","278.0","105"
"47","Commercial","Sold","1196145.03","Carsonfort","4","","","273.0","89"
"48","Studio","Under Construction","812968.6","Port Gabrielfort","13","3668.0","2156.0","19.0","24"
"49","Villa","Sold","1123399.75","Fischermouth","10","","","226.0","59"
"50","Studio","Under Construction","929336.83","Claireland","1","4154.0","2346.0","160.0","17"
"51","Villa","Reserved","1437201.82","Ingramstad","15","","","101.0","31"
"52","Studio","Reserved","632914.2","Connieton","0","635.0","7634.0","381.0","50"
"53","Commercial","Reserved","2472208.56","New Brett","20","6672.0","6240.0","141.0","114"
"54","Apartment","Available","1277131.39","East Reneeburgh","1","5690.0","2243.0","","120"
"55","Apartment","Sold","525697.09","East Kevinmouth","14","","","247.0","24"
"56","Commercial","Available","1218813.54","Vasquezborough","11","","","75.0","10"
"57","Studio","Under Construction","2172717.07","Stephaniefort","19","","","379.0","22"
"58","Studio","Available","103426.64","Karenburgh","1","1654.0","7264.0","","63"
"59","Apartment","Under Construction","1714907.59","Port Karen","9","1548.0","4793.0","303.0","34"
"60","Studio","Available","1392521.1","Johnsonburgh","2","3551.0","7254.0","118.0","123"
"61","Apartment","Sold","465417.09","Paulview","12","","","360.0","173"
"62","Studio","Sold","2052817.28","Danielchester","14","","","244.0","38"
"63","Apartment","Under Construction","953767.32","Lake Kimberlyview","7","","","250.0","98"
"64","Villa","Reserved","769814.97","East Alexchester","16","","","","127"
"65","Villa","Under Construction","2078906.72","Freemanstad","3","","","45.0","18"
"66","Villa","Reserved","1614386.36","Kimberlyhaven","1","2683.0","6259.0","209.0","75"
"67","Studio","Sold","2250734.76","Trevortown","2","","","375.0","31"
"68","Apartment","Sold","1593215.07","Jacobsview","17","","","202.0","44"
"69","Studio","Reserved","1865003.26","Gonzalesberg","9","","","384.0","120"
"70","Studio","Sold","2099292.45","Lake Eric","6","2623.0","4882.0","24.0","24"
"71","Studio","Reserved","184112.11","East Angela","6","5754.0","5018.0","6.0","179"
"72","Villa","Sold","1951319.95","Alyssabury","5","5802.0","6467.0","","120"
"73","Apartment","Available","1553580.88","Lake Frederickfort","10","","","304.0","8"
"74","Studio","Available","220294.1","North Williammouth","17","","","286.0","22"
"75","Commercial","Sold","1296015.91","Chadborough","7","","","325.0","55"
"76","Villa","Reserved","252022.29","Lake Sherrifort","3","","","311.0","12"
"77","Studio","Available","1853070.64","North Virginia","10","","","348.0","56"
"78","Commercial","Reserved","1388929.2","Foxburgh","2","3476.0","865.0","110.0","74"
"79","Apartment","Reserved","2386255.17","Loganland","13","","","","114"
"80","Villa","Under Construction","498681.66","Kimberlyburgh","17","3358.0","3427.0","324.0","10"
"81","Studio","Available","1534781.96","Laurastad","7","797.0","3997.0","349.0","3"
"82","Studio","Available","568376.23","New Kimberly","18","1549.0","7872.0","148.0","25"
"83","Villa","Under Construction","1554459.21","North Michaelport","4","4697.0","3453.0","284.0","59"
"84","Commercial","Available","1820491.77","West Patriciatown","17","","","327.0","29"
"85","Commercial","Under Construction","1819645.61","Tamaraland","13","","","81.0","34"
"86","Studio","Available","2046931.28","Millertown","14","4347.0","7323.0","222.0","8"
"87","Studio","Under Construction","2141198.06","Lake Thomasberg","11","","","112.0","41"
"88","Apartment","Sold","239315.73","West Alyssaside","6","6410.0","4410.0","288.0","178"
"89","Villa","Sold","891004.53","Claytonport","18","1461.0","6927.0","","13"
"90","Apartment","Sold","1733450.17","Taylorburgh","8","","","248.0","61"
"91","Villa","Sold","1271536.4","North Rebeccashire","2","5618.0","6764.0","377.0","43"
"92","Studio","Available","517156.07","New Ryanton","3","","","","142"
"93","Apartment","Reserved","1404138.45","Patricktown","1","","","132.0","105"
"94","Villa","Reserved","1048217.35","Hollyport","12","","","360.0","25"
"95","Apartment","Available","1005593.78","Adamschester","17","","","304.0","26"
"96","Commercial","Available","2033896.61","Brandonmouth","12","1057.0","7552.0","208.0","152"
"97","Commercial","Reserved","1048615.92","East Hannahshire","8","719.0","1981.0","185.0","5"
"98","Studio","Reserved","114813.54","South Kathryn","5","","","5.0","76"
"99","Studio","Under Construction","192255.18","Josephtown","12","","","389.0","59"
"100","Commercial","Available","2147797.9","East Kimberly","1","","","163.0","102"
"101","Apartment","Under Construction","2403471.98","Port Sherritown","10","","","281.0","143"
"102","Apartment","Reserved","1736602.87","Mendozaborough","4","","","251.0","90"
"103","Commercial","Sold","942702.32","Justinfurt","10","6634.0","4855.0","86.0","29"
"104","Commercial","Under Construction","2349570.77","Lake Johnborough","16","","","256.0","86"
"105","Studio","Under Construction","1673867.56","East Jonathan","14","2494.0","4042.0","332.0","89"
"106","Apartment","Under Construction","2118617.2","Smithborough","7","","","364.0","35"
"107","Villa","Sold","1926338.14","Peckton","10","","","","138"
"108","Studio","Available","978891.32","Lake Amanda","3","","","","119"
"109","Apartment","Under Construction","1222820.39","North Louis","4","5330.0","1698.0","149.0","160"
"110","Villa","Available","506023.78","Kellerport","10","","","152.0","171"
"111","Studio","Sold","765434.55","West Jacquelineport","4","","","383.0","165"
"112","Studio","Under Construction","1956407.87","North Rachelstad","11","3785.0","7651.0","135.0","53"
"113","Villa","Reserved","2240247.06","Lake Colleen","13","","","240.0","12"
"114","Commercial","Under Construction","1824928.04","Port Heather","2","4309.0","1609.0","347.0","179"
"115","Commercial","Available","1189675.56","Stephanieport","7","","","193.0","145"
"116","Apartment","Available","261947.71","South Thomasville","4","","","265.0","11"
"117","Studio","Available","189522.47","South Jasmineside","5","","","206.0","151"
"118","Commercial","Reserved","967097.63","West Evanstad","20","","","304.0","5"
"119","Villa","Available","1186363.21","Port Matthew","19","5471.0","6369.0","","137"
"120","Villa","Reserved","1542345.52","Shawborough","16","4559.0","2436.0","72.0","37"
"121","Commercial","Reserved","65899.33","Gonzalesfort","4","4198.0","5974.0","346.0","14"
"122","Studio","Under Construction","2474821.08","Richardview","1","","","26.0","91"
"123","Villa","Under Construction","941650.26","Ninachester","16","","","","23"
"124","Commercial","Available","2127831.93","New Erin","19","","","158.0","39"
"125","Villa","Sold","1360668.43","South Christinehaven","20","","","190.0","95"
"126","Commercial","Under Construction","369576.66","Sandraburgh","18","","","382.0","122"
"127","Apartment","Reserved","2004035.6","Lake Tracy","5","2085.0","4083.0","318.0","47"
"128","Apartment","Sold","1789076.33","Lake Mary","14","","","9.0","105"
"129","Apartment","Under Construction","1342218.41","East Cheryl","10","","","178.0","112"
"130","Commercial","Under Construction","1310655.07","Joshuabury","4","","","201.0","46"
"131","Studio","Available","264325.03","East Tylershire","19","","","170.0","129"
"132","Commercial","Available","1656829.92","Kingview","8","","","20.0","135"
"133","Villa","Reserved","2282550.63","West Janeton","18","","","202.0","102"
"134","Villa","Reserved","278450.05","Port Sabrina","3","","","395.0","156"
"135","Apartment","Reserved","695603.05","Cruzfurt","15","","","","122"
"136","Commercial","Under Construction","2260654.53","East Daniel","14","","","363.0","45"
"137","Villa","Reserved","746642.58","Port Sarah","15","","","153.0","90"
"138","Apartment","Reserved","1652162.0","New Nicolasmouth","13","2754.0","7919.0","118.0","156"
"139","Villa","Available","1360304.5","Port Amanda","8","","","36.0","15"
"140","Studio","Sold","1511002.63","Sherryberg","5","","","","139"
"141","Villa","Available","1068682.81","West Donald","20","","","119.0","176"
"142","Studio","Reserved","784979.1","Haleybury","17","6520.0","1631.0","40.0","60"
"143","Apartment","Under Construction","168906.95","Markshire","15","","","","155"
"144","Studio","Available","1873488.3","East Robert","16","1421.0","7626.0","373.0","169"
"145","Commercial","Reserved","1877928.98","South Kenneth","13","","","127.0","172"
"146","Commercial","Available","1693278.06","West Sarah","14","","","269.0","94"
"147","Villa","Reserved","1626902.78","Youngland","1","","","248.0","117"
"148","Commercial","Available","647106.97","Lake Brett","7","","","269.0","145"
"149","Studio","Available","104745.09","Mcculloughchester","1","2130.0","7074.0","86.0","79"
"150","Studio","Available","2031352.72","Jennifertown","0","","","312.0","110"
"151","Studio","Sold","1253289.41","South Sarahview","12","5375.0","6860.0","53.0","71"
"152","Apartment","Reserved","801753.42","Scottmouth","13","","","97.0","140"
"153","Commercial","Sold","299733.17","South Kennethmouth","9","","","354.0","8"
