contractor_id,contractor_name,phone,email,project_cost,start_date,end_date,project_count,payment_terms,project_id
1,"Jacobs, Pruitt and Gillespie",+1-630-389-2842x077,srodriguez@mcguire.org,4509237.83,2021-06-14,2028-02-08,12,30 days,113
2,Lynch PLC,295-495-8199x730,blaireric@mcclure-jackson.info,2286263.27,2022-12-30,2035-12-22,15,60 days,125
3,"Johnson, Sanders and Manning",001-455-842-6615x54416,lrodriguez@roberson.com,2592879.51,2020-12-25,2024-08-06,8,Milestone,147
4,"Hayes, Hicks and Hammond",(307)620-6130x990,debrapatterson@morse-thompson.com,4746599.48,2023-02-04,2038-06-15,15,60 days,132
5,"Lang, Saunders and Smith",398.255.6942x05465,kevinwaters@price.net,4897422.48,2021-10-04,2034-12-25,15,60 days,141
6,Davis Ltd,618-903-7065,orobinson@navarro.com,3324636.49,2023-02-17,2037-02-03,8,60 days,44
7,"Miller, Perez and Cruz",668.441.2119x916,scott28@haynes.com,4726825.3,2022-01-27,2037-06-07,16,Milestone,18
8,Fleming Group,(534)849-7654x6072,froman@hayes.com,2730461.56,2022-01-04,2033-08-04,6,Advance,105
9,Williams-Sanchez,(591)735-5622,jenna86@sloan-coleman.net,1571050.58,2021-03-16,2034-01-07,9,60 days,24
10,"Long, Garcia and Gallagher",592.428.2818,simpsonkristina@oliver-smith.com,1609709.64,2021-03-21,2034-12-08,7,30 days,43
11,Hubbard PLC,001-904-852-6131x9474,jellis@flores.biz,2816755.92,2022-05-07,2030-06-24,12,Milestone,40
12,"Webb, Santos and Jones",(682)849-6892x62733,mcdanielrobert@clark-stewart.com,3044928.8,2021-06-25,2027-03-26,15,60 days,53
13,Nunez-Gomez,346-809-6201x1642,lisamontgomery@lewis-bishop.biz,2226104.5,2021-02-19,2027-08-17,14,60 days,165
14,Watson LLC,+1-817-305-9013x99502,joshua90@holder.com,4424668.84,2022-12-20,2037-12-01,4,Advance,101
15,Ball Inc,9407717948,julie07@moore-sanders.biz,2162145.79,2021-12-31,2032-03-08,10,Advance,139
16,"Good, Price and Brown",695-721-7335,rebecca24@fuller.com,1403447.05,2023-03-25,2039-01-30,19,Milestone,4
17,Morris-Leonard,8225607931,bsmith@peterson.com,89510.3,2021-12-26,2036-05-11,9,30 days,124
18,Mitchell-Hensley,866.959.5644,vjohnson@fisher.biz,4854317.93,2022-06-20,2026-07-29,14,60 days,167
19,Lopez-Reyes,(895)953-6014x692,wendyvasquez@torres.com,4130350.75,2022-03-02,2030-03-20,14,60 days,10
20,"White, Bryant and Williams",(256)499-6536x79806,knicholson@weeks.biz,3097019.94,2022-07-27,2037-08-07,16,Advance,80
21,Arnold-Glover,001-421-328-9226x4268,theresabrown@hughes.info,4161184.16,2022-04-05,2025-09-16,15,30 days,13
22,"Hutchinson, Rodriguez and Miller",6117525754,christine30@brady.net,4060931.69,2023-05-08,2029-06-05,11,Advance,28
23,Smith Ltd,7433289966,pclark@molina-ruiz.com,4662661.36,2020-11-07,2026-05-10,2,Advance,26
24,"Brown, Pope and Williamson",(336)638-9392x680,coxadam@summers.com,1961035.03,2021-06-05,2037-04-12,20,Advance,151
25,Clark and Sons,280-983-6118,emilygentry@gross.com,2796518.6,2020-11-18,2029-11-01,2,30 days,110
26,Mora-Pope,725.733.8031x16842,hcoleman@meyer-weber.org,538208.72,2023-01-06,2026-05-20,16,30 days,94
27,"Payne, Brown and Anderson",(739)787-2994,jgomez@smith.biz,4828311.36,2022-11-05,2025-12-19,6,60 days,33
28,Sims Inc,566.979.6473,christopher74@arnold-young.com,4926378.99,2021-08-13,2027-02-13,10,60 days,81
29,Ferguson-Norris,3153424630,castilloanthony@sloan.com,3955967.03,2022-10-26,2036-10-12,6,Milestone,54
30,"Cole, Gallegos and Myers",001-637-964-3542x5011,christinaallen@hampton.biz,2297898.87,2021-11-06,2024-10-21,16,60 days,43
31,Maddox Ltd,(202)444-5865,eanderson@thompson.com,2508005.42,2020-12-18,2025-06-25,18,Milestone,69
32,Price-Rhodes,(403)318-8067x487,jamesjackson@small.com,2205066.32,2022-01-14,2029-09-04,20,30 days,64
33,West Group,903-976-0318,erikfleming@walker.net,1501887.65,2021-03-31,2028-01-24,18,Advance,42
34,Hernandez-Cochran,001-230-665-3267,khodge@nunez-stanley.info,2662567.46,2022-10-28,2037-10-09,4,Advance,139
35,Watkins LLC,567.781.1905x6286,rachelreed@ortiz.info,314553.09,2021-11-28,2027-01-01,4,30 days,8
36,Garcia-Ramos,+1-533-705-0434x242,crystalmorrison@bishop-clark.com,4959840.96,2021-04-05,2035-04-22,1,Advance,93
37,Jackson-Ferrell,477.573.1678x984,yvonnemahoney@smith.net,2149048.17,2023-04-15,2034-01-17,1,30 days,157
38,Morgan-Vargas,209-607-4683x1081,patricksmith@king-giles.com,4640464.59,2022-11-02,2032-08-11,19,60 days,167
39,"Cordova, Nunez and Anderson",397-691-2554x5328,michael56@bullock-carr.com,3635143.73,2021-11-14,2034-06-09,13,Advance,85
40,"Garcia, Waters and Richardson",(890)411-3985,christopherlee@wilson-briggs.com,1485217.44,2023-07-09,2037-06-25,12,Milestone,63
41,Zimmerman-Knight,828.861.9111x520,chavezandrea@bowen.info,1149160.46,2021-08-28,2026-09-01,18,30 days,177
42,Lewis Ltd,384.218.4201,imaddox@burns-johnson.com,4978593.4,2023-07-22,2028-04-26,15,60 days,111
43,"Perez, Mcdonald and Ross",(548)978-5115x6088,carlosgarcia@banks.info,3872025.46,2022-11-15,2026-03-29,15,60 days,63
44,Harris-Jackson,984-333-4170x4962,paulawilliams@wade-sullivan.com,1285824.3,2022-06-21,2033-06-23,16,30 days,16
45,Ware and Sons,8423301353,hortonstephanie@hancock-black.biz,383852.99,2021-11-07,2033-11-04,12,Advance,148
46,Montoya Ltd,922.635.7985x58563,ross39@smith.com,3499736.9,2022-03-31,2027-11-30,6,60 days,17
47,Turner-Ramirez,001-282-473-3268,laurencummings@ramirez-blackwell.com,1549931.46,2021-06-15,2027-11-11,20,Advance,4
48,Young Ltd,001-866-989-0664x7979,taylorjennifer@martinez.net,1145587.52,2021-12-11,2025-06-23,15,Milestone,111
49,Figueroa Ltd,363-973-6336x064,qmartin@valenzuela.net,3687940.2,2021-03-20,2029-03-08,12,Advance,51
50,Sullivan-Camacho,001-675-379-6227,ejohnson@olson.com,3412343.55,2020-10-24,2034-10-11,15,60 days,84
51,Wood Group,896-679-9851x974,meganwade@silva-benton.biz,2432992.74,2023-02-03,2026-12-14,4,60 days,1
52,Cantu-Perry,757-378-3107x763,brittany40@rich.com,4716146.87,2021-09-14,2031-01-25,5,Advance,9
53,Tate-Cox,+1-371-472-8828x3724,phillipsscott@foster.org,3414209.91,2021-12-05,2025-08-16,15,Milestone,74
54,Ryan Inc,4906537704,kaylale@tate.net,4472426.83,2022-05-22,2033-11-20,18,60 days,73
55,Turner-Stephens,+1-400-752-9448x9000,jessicaroberts@riddle.com,993237.06,2022-05-16,2028-01-15,18,30 days,98
