segment_id,segment_name,description,target_income_range
1,Premium,Score each cause.,30952-64592
2,Budget,Beautiful instead ahead despite measure ago current.,10819-147196
3,Investors,Ipsum eius sit quis cum.,19012-82098
4,Renters,Eius dolor quis aut fugit facere.,17314-68289
5,Corporate,Eaque aliquam itaque commodi ullam aspernatur eos occaecati.,34132-63434
6,Retail,Deleniti architecto optio quo voluptates sequi sint.,32174-147080
7,Premium,Iste rerum cum explicabo pariatur.,39234-121482
8,Budget,Play move each left establish understand read detail.,12848-127397
9,Investors,Dolorem adipisci et eaque.,23825-54165
10,Renters,Then fire pretty how trip learn enter.,10976-62280
11,Corporate,Much section investment on gun young catch.,17164-80495
12,Retail,Quidem similique corrupti cum.,26559-128907
13,Premium,Aperiam fugit voluptatum minus voluptas similique accusamus quam.,10869-123563
14,Budget,Beatae ipsa iste veritatis soluta ea.,16515-143850
15,Investors,Tree that fear police participant check several.,31295-141924
16,Renters,Food affect upon these story film around there.,27856-104987
17,Corporate,Rule staff within mouth.,17223-108878
18,Retail,Process water close month.,29309-86463
19,Premium,Ut quidem porro quae id.,36523-50851
20,Budget,Tempore iste dolorum aperiam accusantium mollitia.,34864-70926
21,Investors,Audience piece director.,32876-105392
22,Renters,Audience draw protect Democrat car very.,21149-86421
23,Corporate,Quos rem deleniti atque inventore.,15094-78221
24,Retail,Iure quas perferendis voluptates atque illo.,35018-94118
25,Premium,Dolorum deleniti ipsum in.,13349-62156
26,Budget,Dolorum unde ipsam similique mollitia amet voluptatum.,22449-62676
27,Investors,Unit support coach magazine.,21763-95082
28,Renters,Total clearly able hospital unit size.,29782-84671
29,Corporate,Possimus quas quos optio laborum deleniti.,36447-55695
30,Retail,Often my security arm.,33911-110217
31,Premium,Ullam minus animi magni sed architecto architecto.,27571-66361
32,Budget,Build three east organization people information.,22403-60328
33,Investors,Dignissimos quaerat dolores id perferendis.,28089-88427
34,Renters,Et quibusdam asperiores itaque voluptatum voluptatum asperiores.,37177-132397
35,Corporate,Enter value thing these hard citizen street.,30267-97400
36,Retail,Voluptates rem minus pariatur mollitia ut aut soluta.,28918-75203
37,Premium,Suscipit quia culpa eligendi.,33087-59116
38,Budget,Data plant enough major town suffer.,11501-136673
39,Investors,Stop analysis four capital woman claim.,17467-87930
40,Renters,Provident natus beatae velit porro corrupti alias.,12614-80512
41,Corporate,Mollitia inventore aliquam facilis ut voluptas aliquam facere.,38392-63238
42,Retail,Government nice themselves wind.,22455-86434
43,Premium,Ten wish specific thing agent.,24857-133320
44,Budget,Rem sint repellat eaque ratione autem.,37332-97819
45,Investors,Develop staff least figure somebody dinner age.,15329-98520
46,Renters,Foreign ten whom evidence political hundred.,21641-77460
47,Corporate,Beatae voluptas debitis.,31960-84993
48,Retail,Autem ipsa quas.,32997-139593
49,Premium,Non maiores harum nemo ducimus provident.,31234-59358
50,Budget,Understand Mrs rest score provide hair attorney.,29960-133227
51,Investors,Et sed quaerat error est illum illo eos.,15607-120010
52,Renters,Inside wait quality total past.,33892-82087
53,Corporate,Molestias a enim inventore neque omnis.,15354-110589
54,Retail,Ipsam distinctio labore temporibus recusandae cumque.,22433-85382
55,Premium,Middle plan friend stand seem.,30971-140198
56,Budget,Rem corporis aliquid voluptates nostrum.,28250-78785
57,Investors,Increase picture create recent manager during prevent.,32433-92504
58,Renters,Sing despite sound receive.,37618-57331
59,Corporate,Nam totam commodi.,17505-54207
60,Retail,Property write other wear through partner rest.,36379-91347
