transaction_id,name,transaction_date,amount,tax,discount_amount,payment_status,transaction_type,customer_id,payment_method_number,employee_id
1,TXN-1-RZY,2024-11-18,115015.06,5750.75,3450.45,Cancelled,Rent,7822,117,101
2,TXN-2-LSR,2025-05-15,1328408.57,66420.43,13284.09,Cancelled,Sale,5817,376,239
3,TXN-3-JHJ,2023-08-01,2429891.53,340184.81,121494.58,Cancelled,Sale,6285,443,351
4,TXN-4-HWU,2024-08-20,148818.36,7440.92,4464.55,Paid,Rent,3408,90,92
5,TXN-5-HHX,2024-03-08,3448919.6,172445.98,0.0,Cancelled,Sale,951,120,74
6,TXN-6-ZCX,2025-02-24,4214716.02,210735.8,0.0,Paid,Sale,5798,209,254
7,TXN-7-GED,2024-10-01,2103495.65,105174.78,0.0,Cancelled,Sale,2376,313,283
8,TXN-8-KFD,2021-12-14,3850911.57,539127.62,192545.58,Pending,Sale,4465,541,361
9,TXN-9-XLR,2024-05-31,250520.41,0.0,0.0,Cancelled,Sale,6632,370,77
10,TXN-10-PAP,2022-08-21,658410.35,0.0,6584.1,Paid,Sale,4717,37,259
11,TXN-11-HIZ,2024-04-26,21103.99,1055.2,0.0,Pending,Deposit,2630,402,284
12,TXN-12-UAB,2025-02-21,61488.88,8608.44,3074.44,Paid,Rent,7857,156,116
13,TXN-13-ZTB,2024-04-11,4236437.15,0.0,42364.37,Cancelled,Sale,2461,71,244
14,TXN-14-NNS,2023-08-21,35280.34,0.0,1764.02,Pending,Deposit,4489,577,44
15,TXN-15-KPI,2024-07-26,3290374.91,164518.75,32903.75,Paid,Sale,293,329,12
16,TXN-16-JEZ,2024-02-21,106978.52,10697.85,5348.93,Paid,Rent,188,255,136
17,TXN-17-YXN,2023-07-27,88754.99,12425.7,4437.75,Pending,Rent,7850,505,36
18,TXN-18-CTH,2024-11-12,54871.81,2743.59,1646.15,Cancelled,Rent,476,508,229
19,TXN-19-CCM,2024-03-26,2906414.04,0.0,145320.7,Cancelled,Sale,7043,471,74
20,TXN-20-TRA,2024-01-22,1744214.68,87210.73,87210.73,Cancelled,Sale,1712,121,198
21,TXN-21-WCH,2022-04-12,9303.5,0.0,279.1,Cancelled,Deposit,4128,79,44
22,TXN-22-OEE,2022-04-11,4964379.69,695013.16,49643.8,Paid,Sale,6186,451,12
23,TXN-23-CAZ,2025-06-29,679553.15,0.0,20386.59,Cancelled,Sale,3478,409,233
24,TXN-24-UVB,2024-04-27,8162.49,1142.75,408.12,Cancelled,Deposit,4977,288,203
25,TXN-25-CYT,2023-06-08,4398727.21,219936.36,43987.27,Cancelled,Sale,4953,252,363
26,TXN-26-HDH,2024-04-22,46671.53,0.0,1400.15,Cancelled,Rent,3779,61,11
27,TXN-27-XWK,2022-11-21,3268970.02,457655.8,0.0,Pending,Sale,6708,10,397
28,TXN-28-LDO,2022-01-01,50692.85,2534.64,506.93,Paid,Rent,5374,50,283
29,TXN-29-XBB,2023-06-10,1987698.64,278277.81,59630.96,Cancelled,Sale,1772,306,107
30,TXN-30-NNS,2024-11-09,40792.72,2039.64,407.93,Paid,Rent,6376,503,147
31,TXN-31-UVM,2022-11-05,34961.36,0.0,1748.07,Paid,Deposit,3835,344,304
32,TXN-32-RYK,2024-07-12,41659.34,2082.97,1249.78,Cancelled,Deposit,1165,538,163
33,TXN-33-NXV,2022-07-16,108621.58,10862.16,3258.65,Paid,Rent,7746,346,377
34,TXN-34-SFW,2022-06-15,77707.36,0.0,777.07,Pending,Rent,1734,118,291
35,TXN-35-SIH,2022-11-09,4720647.82,660890.69,236032.39,Cancelled,Sale,4255,170,395
36,TXN-36-YFX,2024-09-13,5146.16,720.46,51.46,Pending,Deposit,4595,212,277
37,TXN-37-MEE,2021-12-21,2540188.2,127009.41,25401.88,Cancelled,Sale,7193,577,322
38,TXN-38-YDH,2024-05-22,58838.25,2941.91,2941.91,Pending,Deposit,140,34,129
39,TXN-39-RNG,2022-04-05,138189.15,19346.48,6909.46,Pending,Rent,3597,373,262
40,TXN-40-EQO,2023-11-02,9275.46,927.55,0.0,Pending,Rent,4238,442,374
41,TXN-41-HFY,2022-08-14,2888822.95,144441.15,0.0,Pending,Sale,1892,503,389
42,TXN-42-VIP,2024-09-29,128337.23,12833.72,1283.37,Cancelled,Rent,1868,109,231
43,TXN-43-QLL,2022-07-24,1247542.25,0.0,37426.27,Pending,Sale,3624,493,201
44,TXN-44-GLY,2023-09-22,87752.94,0.0,0.0,Cancelled,Deposit,4206,310,
45,TXN-45-AOL,2024-12-22,144264.88,14426.49,7213.24,Paid,Sale,6360,276,126
46,TXN-46-COS,2022-09-09,110403.29,5520.16,5520.16,Paid,Rent,4457,116,358
47,TXN-47-WNB,2021-10-30,140100.76,0.0,0.0,Pending,Rent,596,425,272
48,TXN-48-GUO,2024-03-30,99265.25,0.0,0.0,Cancelled,Rent,3168,32,98
49,TXN-49-BJJ,2021-11-06,44463.9,0.0,1333.92,Pending,Deposit,4978,171,201
