unit_id,type,area,status,price,location,floor_number,transaction_id,customer_id,portfolio_id,project_id,monthly_rent
1,Apartment,240.0,Sold,727205.83,Hansentown,3,1310,2503,217,111,
2,Commercial,271.02,Reserved,1156509.88,Jefferychester,5,,,344,70,27227.63
3,Villa,81.47,Available,395571.74,Suzannechester,10,,,308,83,49622.56
4,Studio,402.64,Under Construction,624974.66,Stephenville,19,,,56,57,8580.71
5,Studio,57.17,Sold,1540329.15,East Michael,18,4091,5936,297,51,
6,Villa,331.87,Sold,963384.47,East Rachel,24,3008,7004,107,141,
7,Commercial,317.07,Under Construction,1796749.1,South Theresaview,3,,,204,152,56249.85
8,Commercial,61.92,Sold,521114.72,Juanstad,24,6107,7515,177,111,
9,Villa,63.44,Under Construction,2176585.14,Port Tiffanychester,24,,,310,161,47970.06
10,Commercial,273.48,Reserved,254975.35,Johnstonhaven,13,,,266,9,17852.12
11,Commercial,158.55,Reserved,1423820.83,Dominiqueburgh,21,,,293,114,16966.55
12,Apartment,65.28,Under Construction,1840367.64,Garrettstad,6,,,48,83,19346.65
13,Villa,222.74,Reserved,362783.26,Lake Madison,13,,,256,168,48547.8
14,Apartment,269.7,Available,2258884.78,North Nancy,6,,,352,112,30737.35
15,Villa,425.69,Reserved,2235077.1,Woodstown,19,,,146,152,35434.67
16,Commercial,422.57,Sold,841567.43,Simmonsburgh,20,2184,1155,94,128,
17,Studio,186.74,Sold,161420.98,Rogerstown,21,2905,6161,250,100,
18,Commercial,279.52,Under Construction,1818713.73,West Aaronchester,10,,,35,27,46864.11
19,Villa,97.17,Under Construction,1138189.73,Vasquezburgh,21,,,104,57,12258.07
20,Commercial,309.78,Available,436968.61,Mcmillanfurt,0,,,35,80,54441.49
21,Apartment,130.71,Reserved,763935.55,Campbellside,11,,,351,148,51352.57
22,Commercial,225.26,Reserved,108790.07,Amyside,21,,,39,148,30686.0
23,Studio,70.09,Sold,2464094.56,Patrickshire,10,5156,6542,319,94,
24,Commercial,279.07,Under Construction,678504.91,South Jennafurt,2,,,135,10,34695.63
25,Commercial,66.9,Reserved,2009733.7,Randolphshire,26,,,159,22,55669.03
26,Apartment,397.89,Reserved,887306.13,North Brendan,26,,,73,98,20894.55
27,Studio,49.56,Sold,1645930.88,Lauramouth,27,237,6243,127,93,
28,Villa,256.99,Sold,1175398.61,East Ryan,26,4899,6524,90,35,
29,Commercial,411.67,Reserved,461303.31,New Scott,6,,,357,169,2560.64
30,Commercial,65.43,Sold,597260.02,Grimesshire,5,6435,5754,62,131,
31,Villa,48.81,Reserved,1281967.09,Thomasville,4,,,337,112,20217.25
32,Apartment,109.9,Sold,1887705.98,Patriciaview,14,3294,2668,132,147,
33,Studio,119.85,Under Construction,1734632.5,Jasonport,11,,,330,42,22257.36
34,Apartment,247.41,Sold,2337974.25,Heatherberg,16,5812,5748,6,91,
35,Apartment,50.5,Available,1275648.04,North Toddshire,1,2163,2122,363,107,51556.53
36,Commercial,279.01,Under Construction,728332.77,West Josephstad,30,,,122,2,25065.51
37,Commercial,317.31,Under Construction,2232489.14,Elliston,20,,,67,7,4381.85
38,Commercial,64.69,Under Construction,846376.23,Bethmouth,20,,,127,60,15501.22
39,Apartment,144.95,Reserved,592111.5,Christinefort,24,,,297,116,13357.85
40,Villa,89.21,Under Construction,2338187.62,South Austinville,14,,,44,170,10362.99
41,Villa,119.83,Sold,653351.02,West Derek,29,6497,425,388,106,
42,Commercial,422.2,Sold,1901499.63,Thomasburgh,24,161,7868,280,117,
43,Studio,362.73,Reserved,306657.74,Lake Emilyview,1,,,226,127,50505.97
44,Apartment,204.4,Reserved,693916.41,Stantonville,30,,,213,130,35393.5
45,Studio,376.21,Sold,1957697.77,New Mitchell,6,87,3748,84,133,
46,Commercial,404.35,Sold,2323923.86,Jeremiahfort,6,3783,4298,58,117,
47,Villa,133.82,Reserved,1088451.84,South Codyfort,21,,,247,138,2848.46
48,Studio,399.92,Under Construction,428701.77,Justinland,6,,,245,140,51965.54
49,Villa,171.7,Reserved,951927.3,Jennifershire,8,,,71,119,4269.67
50,Studio,170.65,Reserved,2226491.02,Brownhaven,0,6402,6950,356,98,3481.75
51,Studio,203.63,Sold,126929.09,Gravesborough,17,470,7840,5,147,
52,Apartment,188.93,Available,472969.57,New Jacobhaven,13,,,153,113,16628.67
53,Studio,399.2,Sold,1118320.59,West Bryanhaven,17,5005,4213,285,120,
54,Studio,148.63,Sold,1493879.03,South Pedro,1,5749,5439,248,166,
55,Villa,93.97,Available,685509.44,West Chase,17,,,326,76,33682.38
56,Villa,133.57,Sold,1713862.96,Williamsmouth,4,6754,930,71,135,
57,Apartment,238.97,Sold,1941373.22,Carlland,26,3931,4831,19,141,
58,Apartment,428.52,Sold,333721.98,Laurashire,18,6797,6067,138,15,
59,Commercial,173.89,Sold,832895.2,North Hollyfort,14,2105,2545,184,164,
60,Villa,97.74,Available,2035242.69,Ericshire,12,,,227,139,46072.96
61,Studio,236.04,Sold,1367538.41,Gilesside,10,4212,2022,141,149,
62,Commercial,59.71,Sold,1410993.01,Haydentown,15,4457,2109,325,135,
63,Villa,363.41,Sold,1455877.56,Andersonmouth,24,4125,5229,119,177,
64,Apartment,145.1,Under Construction,1685493.27,Herrerafurt,19,,,209,128,22966.33
65,Studio,261.12,Reserved,1244535.14,Brownview,14,,,162,171,24108.15
66,Villa,333.33,Available,2215496.47,Johnsonton,11,,,194,98,2302.33
67,Villa,422.45,Sold,1303212.08,Nicoletown,28,4225,5299,262,43,
68,Commercial,325.8,Sold,2146280.19,North Stephenmouth,29,73,7828,348,162,
69,Commercial,228.85,Reserved,2095686.48,Williamschester,14,,,249,61,12301.95
70,Villa,101.05,Available,1660804.85,Ericmouth,18,6668,1796,259,81,52468.29
71,Commercial,405.36,Reserved,1627164.12,New Kara,1,,,326,36,32478.38
72,Apartment,172.53,Sold,2451001.02,North Prestonmouth,21,4417,2546,28,171,
73,Villa,167.67,Sold,1873255.96,South Albert,12,3464,1008,342,63,
74,Apartment,255.77,Sold,1540855.24,Curtisville,28,157,6513,177,77,
75,Apartment,198.29,Available,2413816.66,Mclaughlinmouth,8,,,375,151,35157.57
76,Villa,424.18,Available,68598.97,Lake Brandi,20,,,94,138,35214.89
77,Commercial,332.63,Under Construction,1875446.42,New Maria,21,,,229,49,54488.66
78,Studio,36.83,Sold,50808.89,Brownburgh,23,4833,5561,62,164,
79,Villa,230.99,Reserved,121769.58,North Michelle,20,,,213,173,58522.89
80,Apartment,127.16,Sold,1208028.59,Jefftown,17,849,805,170,180,
81,Apartment,60.37,Under Construction,1329018.62,Crystalside,26,,,91,2,24037.46
82,Apartment,53.53,Sold,871054.45,Elizabethfort,10,1742,4904,324,166,
83,Apartment,197.45,Sold,2475307.65,Patricialand,18,5466,345,211,18,
84,Villa,121.27,Sold,1384710.06,South Kathleenshire,1,5009,3143,58,141,
85,Villa,444.74,Reserved,1990447.06,East Shannon,10,,,376,153,59615.32
86,Apartment,436.84,Available,1249371.88,West Benjamin,24,,,318,134,42389.8
87,Commercial,80.83,Sold,1130814.62,New Robert,4,2617,4710,248,49,
88,Commercial,370.74,Available,1288071.54,Port Justinmouth,22,,,174,142,42756.54
89,Villa,344.49,Available,670999.4,Lake Douglasburgh,5,2961,4112,350,65,52790.56
90,Apartment,225.83,Reserved,564953.5,Port Josephfort,23,,,185,58,52194.12
91,Studio,208.39,Reserved,1888265.47,Timothymouth,13,,,260,26,33785.92
92,Apartment,193.48,Reserved,2034197.22,North Seanchester,26,,,308,134,35899.26
